1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
1CH 2:54	រី​ឯ​កូនចៅ​របស់​លោក​សាល​ម៉ា​គឺ​អ្នកភូមិ​បេ​ថ្លេ​ហិម អ្នក​ភូ​មិនេ​ថូ​ផា អ្នកភូមិ​អា​ត្រូ​ត-បេត -យ៉ូ​អាប់ អ្នកភូមិ​ហា​ស៊ី-ហា​ម៉ា​ណា​ធី​ចំនួន​ពាក់កណ្តាល អ្នកភូមិ​សោ​រីត
1CH 2:55	ព្រមទាំង​អំបូរ​របស់​ពួក​ស្មៀន នៅ​ភូមិ​យ៉ា​បេស គឺ​ពួក​ធី​រ៉ាត់ ពួក​ស៊ី​ម៉ាត់ និង​ពួក​ស៊ូកាត់​។ អ្នក​ទាំងនេះ​សុទ្ធតែ​ជាពួក​កែន ដែល​ជា​ពូជពង្ស​របស់​លោក​ហាម​ម៉ាត់ ជា​បុព្វបុរស​របស់​អំបូរ​រេ​កាប​។
1CH 3:1	រាជបុត្រ​របស់​ព្រះបាទ​ដាវីឌ ដែ​លប្រ​សូត្រ​នៅ​ក្រុង​ហេ​ប្រូ​ន មាន​ដូចតទៅ បុត្រ​ច្បង​ព្រះនាម​អាំ​ណូន ប្រសូត​ពី​នាង​អ​ហ៊ី​ណោម ជា​អ្នកស្រុក​យេ​សរាល បុត្រ​ទីពីរ​ព្រះនាម​ដា​នី​អែល ប្រសូត​ពី​នាង​អ​ប៊ី​កែល ជា​អ្នកភូមិ​កើ​មែល
1CH 3:2	បុត្រ​ទីបី​ព្រះនាម​អាប់​សា​ឡុម ប្រសូត​ពី​ព្រះនាង​ម៉ា​កា​ដែល​ត្រូវជា​បុត្រី​របស់​ព្រះបាទ​តាល​ម៉ាយ ស្តេច​ស្រុក​កេស៊ូ​រី បុត្រ​ទី​បួន​ព្រះនាម​អ​ដូ​នី​យ៉ា ប្រសូត​ពី​នាង​ហា​គីត
1CH 3:3	បុត្រ​ទី​ប្រាំ​ព្រះនាម​សេ​ផា​ធា ប្រសូត​ពី​នាង​អ​ប៊ី​ថាល បុត្រ​ទី​ប្រាំមួយ​ព្រះនាម​យី​ត​រាម ប្រសូត​ពី​នាង​អេក​ឡា​។
1CH 3:4	ទាំង​ប្រាំមួយ​អង្គ​នេះ​ប្រសូត​នៅ​ក្រុង​ហេ​ប្រូ​ន​។ ព្រះបាទ​ដាវីឌ​សោយរាជ្យ​នៅ​ក្រុង​ហេ​ប្រូ​ន​អស់​រយៈពេល​ប្រាំពីរ​ឆ្នាំ​កន្លះ ហើយ​សោយរាជ្យ​នៅ​ក្រុង​យេ​រូ​សា​ឡិម​អស់​រយៈពេល​សាមសិបបី​ឆ្នាំ​។
1CH 3:5	រី​ឯ​បុត្រ​ដែល​កើត​នៅ​ក្រុង​យេ​រូ​សា​ឡិម​មាន​ព្រះនាម សាំ​ម៉ា សូ​បាប់ ណា​ថាន និង​សាឡូម៉ូន បុត្រ​បួន​អង្គ​នេះ​កើត​ពី​នាង​បាត​សេ​បា ជា​កូន​របស់​លោក​អាំ​មាល​។
1CH 3:6	ព្រះបាទ​ដាវីឌ​មាន​បុត្រា​ប្រាំបួន​អង្គ​ទៀត គឺ​យី​បហារ អេ​លី​សា អេ​ផេ​លេ​ត
1CH 3:7	ណូ​កា នេ​ផេ​ក យ៉ា​ភា
1CH 3:8	អេ​លី​សា​ម៉ា អេ​លី​យ៉ា​ដា និង​អេ​លី​ផា​លេ​ត​។
1CH 3:9	ទាំងនេះ​សុទ្ធតែ​ជា​បុត្រា​របស់​ព្រះបាទ​ដាវីឌ ដោយ​ឥត​គិត​បុត្រ​ដែល​កើត​ពី​ពួក​ស្រីស្នំ​ឡើយ​។ ព្រះបាទ​ដាវីឌ​ក៏​មាន​បុត្រី​មួយ​អង្គ​ដែរ គឺ​ព្រះនាង​តា​ម៉ា​រ​។
1CH 3:10	បុត្រា​របស់​ព្រះបាទ​សាឡូម៉ូន​គឺ​ព្រះបាទ​រេ​ហូបោ​ម​។ បុត្រា​របស់​ព្រះបាទ​រេ​ហូបោ​ម​គឺ​ព្រះបាទ​អ​ប៊ីយ៉ា​។ បុត្រា​របស់​ព្រះបាទ​អ​ប៊ីយ៉ា​គឺ​ព្រះបាទ​អេ​សា​។ បុត្រា​របស់​ព្រះបាទ​អេ​សា​គឺ​ព្រះបាទ​យ៉ូ​សា​ផា​ត​។
1CH 3:11	បុត្រា​របស់​ព្រះ​បាត​យ៉ូ​សា​ផា​ត​គឺ​ព្រះបាទ​យ៉ូ​រ៉ាម​។ បុត្រា​របស់​ព្រះបាទ​យ៉ូ​រ៉ាម​គឺ​ព្រះបាទ​អ​ហា​ស៊ី​យ៉ា​។ បុត្រា​របស់​ព្រះបាទ​អ​ហា​ស៊ី​យ៉ា​គឺ​ព្រះបាទ​យ៉ូ​អាស
1CH 3:12	បុត្រា​របស់​ព្រះបាទ​យ៉ូ​អាស​គឺ​ព្រះបាទ​អ​ម៉ា​ស៊ី​យ៉ា​។ បុត្រា​របស់​ព្រះបាទ​អ​ម៉ា​ស៊ី​យ៉ា​គឺ​ព្រះបាទ​អ​សារា​។ បុត្រា​របស់​ព្រះបាទ​អ​សារា​គឺ​ព្រះបាទ​យ៉ូ​ថាម​។
1CH 3:13	បុត្រា​របស់​ព្រះបាទ​យ៉ូ​ថាម​គឺ​ព្រះបាទ​អ​ហាស​។ បុត្រា​របស់​ព្រះបាទ​អ​ហាស​គឺ​ព្រះបាទ​ហេ​សេ​គា​។ បុត្រា​របស់​ព្រះបាទ​ហេ​សេ​គា​គឺ​ព្រះបាទ​ម៉ា​ណា​សេ​។ បុត្រា​របស់​ព្រះបាទ​ម៉ា​ណា​សេ​គឺ​ព្រះបាទ​អាំ​ម៉ូន
1CH 3:14	បុត្រា​របស់​ព្រះបាទ​អាំ​ម៉ូន​គឺ​ព្រះបាទ​យ៉ូ​សៀស​។
1CH 3:15	រី​ឯ​បុត្រ​របស់​ព្រះបាទ​យ៉ូ​សៀ​សគឺ​យ៉ូ​ហា​ណាន​ជា​បុត្រ​ច្បង យេ​ហូ​យ៉ា​គី​ម​ជា​បុត្រ​ទីពីរ សេ​ដេ​គា​ជា​បុត្រ​ទីបី និង​សា​លូ​ម​ជា​បុត្រ​ទី​បួន​។
1CH 3:16	រី​ឯ​បុត្រ​របស់​ព្រះ​បា​ទយេហូ​យ៉ា​គីម គឺ​យេ​កូ​នា​សនិង​សេ​ដេ​គា​។
1CH 3:17	រី​ឯ​បុត្រ​របស់​ព្រះបាទ​យេ​កូ​នាស ជា​ឈ្លើយសឹក​នោះ គឺ​សាល​ធាល
1CH 3:18	ម៉ាល​គី​រ៉ាម ពេ​ដា​យ៉ា សេ​ណា​សារ យេ​កា​ម៉ា ហូ​សា​ម៉ា និ​ងនេ​ដាប​យ៉ា​។
1CH 3:19	កូន​របស់​លោ​ក​ពេ​ដា​យ៉ា​គឺ​សូ​រ៉ូបា​បិល និង​ស៊ី​ម៉ាយ​។ កូ​នប្រុសៗ​របស់​លោក​សូ​រ៉ូបា​បិល មេ​ស៊ូ​ឡាម និង​ហាណា​នា ព្រមទាំង​នាង​សេ​ឡូ​មី​ត​។
1CH 3:20	លោក​មានកូន​ប្រាំ​នាក់​ទៀត​ឈ្មោះ ហា​ស៊ូ​បា អូ​ហែល បេ​រេ​គា ហា​សា​ឌា និង​យ៉ូ​សាប​ហេ​សេដ​។
1CH 3:21	កូ​នប្រុសៗ​របស់​លោក​ហាណា​នា​គឺ ពេ​ឡា​ធា និង​អេសាយ ព្រមទាំង​កូនចៅ​របស់​លោក​រេ​ផា​យ៉ា កូនចៅ​របស់​លោក​អើ​ណាន កូនចៅ​របស់​លោក​អូបាឌា កូនចៅ​របស់​លោក​សេ​កា​នា​។
1CH 3:22	កូន​របស់​លោក​សេ​កា​នា​គឺ​លោក​សេ​ម៉ា​យ៉ា កូនប្រុស​របស់​លោក​សេ​ម៉ា​យ៉ា​គឺ​ហា​ធូស យី​កាល បារី​យ៉ា នារី​យ៉ា និង​សា​ផា​ត​។ សរុប​ទាំងអស់​ប្រាំមួយ​នាក់​។
1CH 3:23	កូ​នប្រុសៗ​របស់​លោក​នារី​យ៉ា​មាន​អេ​លី​យ៉ូ​ណៃ ហេ​សេ​គា និង​អាស​រី​កាំ គឺ​សរុប​ទាំងអស់​បី​នាក់​។
1CH 3:24	កូនប្រុស​របស់​លោក​អេ​លី​យ៉ូ​ណៃ គឺ​ហូ​ដា​វា អេ​លា​ស៊ីប ពេ​ឡា​យ៉ា អ​កាប យ៉ូ​ហា​ណាន ដេ​ឡា​យ៉ា និង​អ​ណា​នី សរុប​ទាំងអស់​ប្រាំពីរ​នាក់​។
1CH 4:1	កូនចៅ​របស់​លោក​យូដា​មាន ពេ​រេស ហេ​ស្រុ​ន កើ​រមី ហ៊ើ​រនិង​សូ​បាល​។
1CH 4:2	លោក​រី​យ៉ា​អា ជា​កូន​របស់​លោក​សូ​បាល បង្កើត​យ៉ា​ហាត់ យ៉ា​ហាត់​បង្កើត​អ​ហ៊ូ​ម៉ាយ និង​ឡា​ហាដ អ្នក​ទាំងនេះ​ជា​អំបូរ​សូ​រ៉ា​ត​។
1CH 4:3	អស់អ្នក​ដែល​កើតមក​ពី​ឪពុក​របស់​លោក​អេ​ថាម​មាន យេ​សរាល យី​មា និង​យី​ដបា ហើយ​ប្អូនស្រី​របស់​គេ​ឈ្មោះ​ហា​សែល​លេ​ពូ​នី​។
1CH 4:4	លោ​ក​ពេនួ​ល​ជា​អ្នកសង់​ភូមិ​កេ​ដោរ លោក​អេ​ស៊ើរ​ជា​អ្នកសង់​ភូមិ​ហ៊ូ​សា​។ អ្នក​ទាំងនេះ​សុទ្ធតែ​ជា​កូនចៅ​របស់​លោ​ក​ហ៊ើរ ជា​កូនច្បង​របស់​អេ​ប្រា​តា ហើយ​ជា​អ្នកសង់​ភូមិ​បេ​ថ្លេ​ហិម​។
1CH 4:5	លោក​អា​ស៊ើរ​ជា​អ្នកសង់​ក្រុង​ត្កូ​អា មាន​ប្រពន្ធ​ពីរ គឺ​នាង​ហេ​ឡា និង​នាង​ណា​អា​រ៉ា​។
1CH 4:6	នាង​ណា​អារ៉ាប​ង្កើត​កូនប្រុស​ជូន​គាត់ ដែល​មានឈ្មោះ​ថា អហូ​សាំ ហេ​ភើរ ថេ​ម៉ា​នី អ​ហាស​ថា​រី​។ អ្នក​ទាំងនេះ​សុទ្ធតែ​ជា​កូន​របស់​នាង​ណា​អា​រ៉ា​។
1CH 4:7	រី​ឯ​កូន​របស់​នាង​ហេ​ឡា​មាន សេ​រ៉េ​ត សូ​ហារ និង​អេ​ត​ណាន​។
1CH 4:8	លោក​កូ​សប​ង្កើត​អនូប និង​សូ​បេ​បា ព្រមទាំង​អំបូរ​អ​ខា​ហែល ជា​កូនប្រុស​របស់​ហា​រូម​។
1CH 4:9	លោក​យ៉ា​បេស ជា​មនុស្ស​ដែលគេ​គោរព​រាប់អាន​ច្រើនជាង​បងប្អូន​របស់​គាត់​។ ម្តាយ​របស់​គាត់​បាន​ដាក់ឈ្មោះ​គាត់​ថា យ៉ា​បេស ដោយ​ពោល​ថា «ខ្ញុំ​បាន​បង្កើតកូន​នេះ​មក​ដោយ​ឈឺចាប់»។
1CH 4:10	លោក​យ៉ា​បេ​សបាន​អង្វរ​រក​ព្រះ​របស់​ជនជាតិ​អ៊ីស្រាអែល​ថា​៖ «សូម​ប្រទាន​ពរ​ទូលបង្គំ សូម​ពង្រីក​ទឹកដី​របស់​ទូលបង្គំ ហើយ​ដាក់​ព្រះហស្ត​លើ​ទូលបង្គំ កុំ​ឲ្យ​ទូលបង្គំ​ជួបប្រទះ​ទុក្ខវេទនា និង​ការឈឺចាប់​ឡើយ!» ដូច្នេះ ព្រះជាម្ចាស់​ក៏​ប្រោស​ប្រទាន​តាម​សំណូមពរ​របស់​គាត់​។
1CH 4:11	លោ​ក​កេលូ​ប ដែល​ត្រូវជា​ប្អូន​របស់​លោក​ស៊ូ​ហា បង្កើត​បាន​មេ​ហើរ ដែល​ជា​ឪពុក​របស់​អែស​ថូន
1CH 4:12	លោក​អែស​ថូន​បង្កើត​បេត​រ៉ា​ផា ផា​សេ​ហា និង​ថេ​ហ៊ី​ណា​។ លោក​ថេ​ហ៊ី​ណា​ជា​អ្នកសង់​ភូមិ​ណា​ហាស​។ ពូជពង្ស​របស់​អ្នក​ទាំងនេះ​រស់នៅ​ក្នុង​តំបន់​រេ​កា​។
