w	def
កងវិស្វករ	[kɑɑŋ vihsvaʔkɑɑ] [[កង]] [[វិស្វករ]] <br>1). engineer corps
កងវ័យកណ្ដាល	[kɑɑŋ ------ kɑndaal] [[កង]] [[វ័យ]] [[កណ្ដាល]] <br>1). unit composed of middle-aged people
កងសេនាជន	[kɑɑŋ seɛnaa cɔɔn] [[កង]] [[សេនាជន]] <br>1). militia (forces)
កងសោយ	[kɑɑŋ saoy] <br>1). n kind of Cambodian wedding music
កងស្រួច	[kɑɑŋ sruǝc] [[កង]] [[ស្រួច]] <br>1). shock unit (main force), regular forces
កងស្វ័យត្រាណ	[kɑɑŋ svay traan] [[កង]] [[ស្វ័យត្រាណ]] <br>1). self-defense force
កងអនុសេនា	[kɑɑŋ ʔaʔnuʔ seɛnaa] [[កង]] [[អនុ]] [[សេនា]] <br>1). platoon, company
កងអនុសេនាតូច	[kɑɑŋ ʔaʔnuʔ seɛnaa tooc~tuuc] [[កងអនុសេនា]] [[តូច]] <br>1). platoon
កងអនុសេនាធំ	[kɑɑŋ ʔaʔnuʔseenaa tʰom] [[កង]] [[អនុសេនាធំ]] <br>1). company
កងអាកាសចរណ៍	[kɑɑŋ ʔaakaah ------ ] [[កង]] [[អាកាសចរណ៍]] <br>1). air force
កងអាយុត្តកដ្ឋាន	[kɑɑŋ ʔaayuttaʔkattʰaan] [[កង]] [[អាយុត្តកដ្ឋាន]] <br>1). ordnance corps
កងអាវុធហត្ថ	[kɑɑŋ ʔaavut hat] [[កង]] [[អាវុធហត្ថ]] <br>1). provost, military police, gendarmerie
កងអាវុធហត្ថជាតិកម្ពុជា	[kɑɑŋ ʔaavut hat ciet kampuʔcie] [[កងអាវុធហត្ថ]] [[ជាតិ]] [[កម្ពុជា]] <br>1). Cambodian National Gendarmerie
កងអាសា	[kɑɑŋ ʔaasaa] [[កង]] [[អាសា]] <br>1). legionary unit / force
កងអាសាបរទេស	[kɑɑŋ ʔaasaa bɑɑrəteeh~paʔreaʔteeh] [[កងអាសា]] [[បរទេស]] <br>1). foreign legion
កងអាសាស្ម័គ្រ	[kɑɑŋ ʔaasaa smak] [[កង]] [[អាសាស្ម័គ្រ]] <br>1). volunteer unit, militia (esp. during the regime of Prince Sihanouk)
កងឯកទេស	[kɑɑŋ ʔaek teeh] [[កង]] [[ឯកទេស]] <br>1). armed force composed of rebel ralliers (who have rallied to the government)
កងឯកភាព	[kɑɑŋ ʔaek pʰiep] [[កង]] [[ឯកភាព]] <br>1). (military) unit
កង់	[kɑŋ] <br>1). n wheel;<br> tire;<br> bicycle <br>2a). n piece, slice;<br> circle, something round;<br> cross-section. <br>2b). clf for pipes, logs, slices ត្រីមួយកង់ one fish steak
កង់ចក្រ	[kaŋ cak] [[កង់]] [[ចក្រ]] <br>1). Brahman wheel of power See: កង់ចក្ក
កង់ច្រវាក់	[kaŋ crɑvak] [[កង់]] [[ច្រវាក់]] <br>1). tread (e.g. of a tank), caterpillar track
កង់តុង	[kɑŋ toŋ] <br>1). n Canton, Guangzhou (China)
កង់បដិវត្តន៍	[kaŋ paʔdeʔvoat] [[កង់]] [[បដិវត្តន៍]] <br>1). revolutionary wheel(s), wheel(s) of the revolution (refers to the progress or evolution of a revolution)
កង់បែក	[kaŋ baek] [[កង់]] [[បែក]] <br>1). flat tire
កង់ស៊ែរ	[kɑŋ sɛɛ] <br>1). n cancer
កង់ឡាន	[kaŋ laan] [[កង់]] [[ឡាន]] <br>1). tire, wheel
កង្កាញ់	[kɑŋkaɲ] <br>1a). v to gather into folds, pleats or tucks;<br> to wave, to curl. <br>1b). adj to be undulating;<br> rippling;<br> wavy (of hair). <br>1c). n ripple, wave, undulation, rippled surface;<br> wrinkle See: អង្កាញ់
កង្កាញ់កង្កួញ	[kɑŋkaɲ kɑŋkuǝɲ] [[កង្កាញ់]] [[កង្កួញ]] <br>1). with a gather, fold, pleat or crease
កង្កាញ់រលក	[kɑŋkaɲ rɔlɔɔk] [[កង្កាញ់]] [[រលក]] <br>1). ripple (on water)
កង្កាញ់សំពត់	[kɑŋkaɲ sɑmpʊət] [[កង្កាញ់]] [[សំពត់]] <br>1). to pleat a skirt
កង្កុញ	[kɑŋkoɲ] <br>1). v to pull in the legs
កង្កួច	[kɑŋkuəc] <br>1). v to call to each other (of elephants)
កង្កួញ	[kɑŋkuəɲ] <br>1). v to draw back the arm (to strike) or the foot (to kick), to clench one's fist;<br> to roll up the trunk (of elephants) <br>2). adj to be kinky, curly, coiled See: អង្កួញ
កង្កែប	[kɑŋkaep] <br>1). n frog (including members of the genera Rana and Megalophrys);<br> term for a Chinese Type 72 anti-personnel mine;<br> (so called because of the chirping noise it makes just before it explodes)
កង្កែបកូប	[kɑŋkaǝp koop] [[កង្កែប]] [[កូប]] <br>1). kind of large frog whose cry is `koop koop'
កង្កែបបោប	[kɑŋkaǝp baop] [[កង្កែប]] [[បោប]] <br>1). stuffed frog
កង្កែបប្រុយ	[kɑŋkaǝp proy] [[កង្កែប]] [[ប្រុយ]] <br>1). kind of small frog See: កូនស្ងើន
កង្កែបអាចម៍គោ	[kɑŋkaǝp ʔac koo] [[កង្កែប]] [[អាចម៍គោ]] <br>1). kind of small frog
កង្ក្រម	[kɑŋkrɑɑm] <br>1). n kind of vine with white flowers
កង្ខា	[kɑŋkʰaa] <br>1). n doubt, suspicion
កង្ខើញ	[kɑŋkʰaəɲ] <br>1). v to pull up the pants / skirt <br>2). v to double up (one's fist), threaten to hit See: សង្ខើញ
កង្ខើញដៃចូលដាល់	[kɑŋkʰaəɲ day cool dal] [[កង្ខើញ]] [[ដៃ]] [[ចូល]] [[ដាល់]] <br>1). to put up the fists (ready to fight)
កង្គួន	[kɑŋkuən] <br>1). adj to be enraged, furious
កង្វក់	[kɑŋvɑk] <br>1). adj to be hooked, curved in the shape of a hook
កង្វល់	[kɑŋvɑl] <br>1a). adj to be concerned, apprehensive, anxious. <br>1b). n anxiety, worry, unrest;<br> stress;<br> disturbance, trouble <br>2). n kind of herbaceous plant (Sida cordifolia, the root of which is used to prepare a medicine for kidney diseases) See: ដើមកង្វល់ ជ្រូក
កង្វាក់	[kɑŋvak] <br>1a). adj to be blind, blinded, dazzled. <br>1b). n blindness;<br> state of being blind
កង្វារ	[kɑŋvaa] <br>1). n hook, gaff;<br> curette;<br> any instrument for picking / probing / digging;<br> specif. wire bent into a hook at one end, used to catch frogs in their holes
កង្វាវ	[kɑŋvaav] <br>1). n curved digging instrument used to dig crabs and frogs out of their holes
កង្វិន	[kɑŋvən] <br>1). n paralytic
កង្វៀច	[kɑŋviec] <br>1). adj to be crooked, curved, distorted, twisted, warped
កង្វេរ	[kɑŋvee] <br>1). n goad (of an elephant driver), ankus;<br> hook (in general)
កង្វែល	[kɑŋvael] <br>1). v to explore;<br> to patrol
កង្វះ	[kɑŋvah] <br>1). n lack, deficiency, deficit
កង្វះខាត	[kɑŋvah kʰaat] [[កង្វះ]] [[ខាត]] <br>1). deficiency
កង្វះឈាមក្រហម	[kɑŋvah cʰiem krɑhɑɑm] [[កង្វះ]] [[ឈាម]] [[ក្រហម]] <br>1). anemia
កង្ហរ	[kɑŋhɑɑ] <br>1). n an device which fires small pellets of clay
កង្ហារ	[kɑŋhaa] <br>1). n fan, pinwheel, wind wheel, propeller (of an airplane);<br> vane (of a windmill) See: ដង្ហាល់
កង្ហារបក់	[kɑŋhaa bɑk] [[កង្ហារ]] [[បក់]] <br>1). oscillating fan
កង្ហារយន្ត	[kɑŋhaa yʊən] [[កង្ហារ]] [[យន្ត]] <br>1). electric fan
កង្ហារវិល	[kɑŋhaa vɨl] [[កង្ហារ]] [[វិល]] <br>1). pinwheel put in fields to frighten away birds
កង្ហិច	[kɑŋhəc] <br>1). n kind of small squirrel-like mammal
កង្ហិត	[kɑŋhət] <br>1). n kind of medicinal plant having yellow flowers (Cassia alata) See: ដង្ហិត
កង្ហែ	[kɑŋhae] <br>1). n season
កង្ហែកង្ហល់	[kɑŋhae - kɑŋhɑl] <br>1). adj to be restless, impatient;<br> to be exhausted, to feel stifled (e.g. in a hot room)
កង្ហែន	[kɑŋhaen] <br>1). n kind of gray squirrel
កងៗ	<br>1). See: ឡងៗ
កច្ចបសត្វ	[kaccʰaʔciet] <br>1). n Chelonia, turtles and tortoises
កជើង	[kɑɑ cəəŋ] [[ក]] [[ជើង]] <br>1). ankle
កញ្ចក	[kɑɲcɑɑk] <br>1a). n person or animal which has uneven legs. <br>1b). v to have uneven legs;<br> to limp
កញ្ចក់	[kɑɲcɑk] <br>1a). n mirror, (sheet / pane of) glass;<br> (optical) filter;<br> (TV) screen. <br>1b). reflection, example ទាំងអស់នេះចាត់ទុកថាជាកញ្ចក់សំរាប់ ឲ្យបណ្ដាជនល្មើសទាំងអស់ឆ្លុះបញ្ចាំងពីទោសកំហុសរបស់ខ្លួន All of these can be considered as examples for lawbreakers illuminating their own crimes
កញ្ចក់គ្រាត	[kaɲcak krie tɑɑ] [[កញ្ចក់]] [[គ្រា]] [[ត]] <br>1). frosted glass
កញ្ចក់ឆ្លុះ	[kaɲcak cloh] [[កញ្ចក់]] [[ឆ្លុះ]] <br>1). mirror
កញ្ចក់ទូរទស្សន៍	[kaɲcak tuureaʔtʊəh ] [[កញ្ចក់]] [[ទូរទស្សន៍]] <br>1). TV screen
កញ្ចក់ប៉ូលកម្ម	[kaɲcak pool kam~kammeaʔ or kammaʔ] [[កញ្ចក់]] [[ប៉ូល]] [[កម្ម]] <br>1). polarizing filter
កញ្ចក់ភ្នែក	[kaɲcak ------] [[កញ្ចក់]] [[ភ្នែក]] <br>1). white of the eye;<br> cornea
កញ្ចក់វ៉ែនតា	[kaɲcak vaen taa] [[កញ្ចក់]] [[វ៉ែនតា]] <br>1). lens (of eyeglasses)
កញ្ចក់ឡាន	[kaɲcak laan] [[កញ្ចក់]] [[ឡាន]] <br>1). windshield
កញ្ចប់	[kɑɲcɑp] <br>1). n. & clf. pack, package, parcel <br>2a). v to scowl, frown. See: កញ្ចប់កញ្ចូវ <br>2b). adj to be scowling, frowning See: កញ្ចុបកញ្ចូវ
កញ្ចប់មាត់	[kaɲcap moat] [[កញ្ចប់]] [[មាត់]] <br>1). mouth (esp. in expressions such as `to be hit smack in the mouth')
កញ្ចាញ់	[kɑɲcaaɲ] See: ត្រីកញ្ចាញ់ច្រាស kind of fish (Toxotes chatareus)
កញ្ចាញ់ចេក	[kɑɲcaɲ ceek] <br>1). n kind of small green tree frog (prob. Limnodytes sp.)
កញ្ចាម	[kɑɲcaam] <br>1). n kind of trap consisting of a noose attached to the end of a pole
កញ្ចាស់	[kɑɲcah] <br>1a). adj to be old, aged, worn out (of people or things);<br> pathetic. <br>1b). n old thing / person
កញ្ចាំង	[kɑɲcaŋ] <br>1). n kind of carved design esp. in copper
កញ្ចឹង	[kɑɲcəŋ] <br>1). n nape of the neck See: កញ្ចឹងក
កញ្ចុប	[kɑɲcop] <br>1). v to appear sullen and dissatisfied, have an unhappy expression See: មុខកញ្ចុបកញ្ចូវ
កញ្ចុំ	[kɑɲcom] <br>1). n cluster / bunch (e.g. of flowers);<br> colony (e.g. of bacteria)
កញ្ចុះ	[kɑɲcoh] <br>1). n kind of small catfish with two barbs or whiskers (Macrones nemurus) See: ត្រីកញ្ចុះ <br>2). n kind of tree (Litsea umbellata the leaves of which are used medicinally) See: ដើមកញ្ចុះដង្កូវ
កញ្ចូញ	[kɑɲcooɲ] <br>1). n coccyx See: កញ្ចូញគូទ <br>2). n cartilaginous and fatty end of a chicken's tail See: កញ្ចូញមាន់
កញ្ចែ	[kɑɲcae] <br>1). n whistle <br>2). n kind of insect, similar to a stag beetle, which makes a chirping sound
កញ្ចោង	[kɑɲcaoŋ] <br>1). n richly decorated covered royal howdah <br>2). v to fill to the brim See: ប្រក(ឲ្យក)ញ្ចោង
កញ្ចោត	[kɑɲcaot] <br>1). adj to be lame (having one leg shorter than the other)
កញ្ចោប	[kɑɲcaop] <br>1). n package;<br> wrapping;<br> a pack, something which is wrapped or packed See: កញ្ចប់
កញ្ចោម	[kɑɲcaom] <br>1). n bunch, crowd
កញ្ច្រង់	[kɑɲcrɑŋ] <br>1). adj to be straight (of a cow's horn) Siem Reap <br>2). n ox
កញ្ច្រាញ់	[kɑɲcraɲ] <br>1). adj to be tangled
កញ្ច្រាំ	[kɑɲcram] <br>1). n kancram (kind of percussion instrument consisting of a bamboo pole with one end split and formed into a small cage-like arrangement to which small bells are attached, the cage is topped by half a coconut shell and it is played by striking the plain end on the ground)
កញ្ច្រឹក	[kɑɲcrək] <br>1). adj to be short, dwarfed
កញ្ច្រឹង	[kɑɲcrəŋ] <br>1). adj to be very thin, emaciated
កញ្ច្រឹប	[kɑɲcrəp] <br>1). adj to be scrunched up (esp. of the ears or shoulders)
កញ្ច្រែង	[kɑɲcraeŋ] <br>1). n generic name for certain kinds of flat, shallow baskets
កញ្ច្រែងរែង	[kɑɲcraeŋ rɛɛŋ] [[កញ្ច្រែង]] [[រែង]] <br>1). sieve
កញ្ឆក់កញ្ឆេង	[--i4-- ] [[កញ្ឆក់កញ្ឆេង]] <br>1). to have a heavily accented beat (of music);<br> to be harsh sounding (of music)
កញ្ឆក់កញ្ឆែង	[kɑɲcʰɑk-kɑɲcʰaeŋ ] [[កញ្ឆក់កញ្ឆែង]] <br>1). to snatch away, grab and pull away rudely
កញ្ឆក់កណ្ដៀត	[--i4-- ] [[កញ្ឆក់កណ្ដៀត]] <br>1). to do something quickly, in a rush
កញ្ឆក់​	[kɑɲcʰɑk] <br>1a). v to snatch, jerk away, seize quickly. <br>1b). adv jerkily, in fits and starts
កញ្ឆត	[kɑɲcʰɑɑt] <br>1). adj to have a piece / portion missing, to be receding (of the hairline);<br> damaged;<br> distorted;<br> crushed
កញ្ឆតកញ្ឆិត	[kɑɲcʰɑɑt kɑɲcʰət] [[កញ្ឆត]] [[កញ្ឆិត]] <br>1). to be crushed, damaged See: កញ្ឆិតកញ្ឆត
កញ្ឆល	[kɑɲcʰɑɑl] <br>1). v to skip;<br> to hop, leap, jump;<br> to become crazed (of animals)
កញ្ឆា	[kɑɲcʰaa] <br>1). n marijuana (Cannabis indica or C. sativa;<br> it is used as a flavoring ingredient in some Cambodian foods and as a narcotic)
កញ្ឆាក់កញ្ឆែង	<br>1). See: កញ្ឆក់កញ្ឆែង
កញ្ឆាញ	[kɑɲcʰaaɲ] <br>1). adj to be open, wide open
កញ្ឆាត់	[kɑɲcʰat] <br>1). v to jump into various fighting stances (esp. as part of a ritual prior to a fighting match)
កញ្ឆិត	[kɑɲcʰət] <br>1). adj to be deformed from birth, misshapen
កញ្ឆិល	[kɑɲcʰəl] <br>1). adj to have an uneven or rough edge, be worn (down to the root), stubby, shrunken
កញ្ឆឹម	[kɑɲcʰəm] <br>1). adj to be attractively small, cute;<br> dainty
កញ្ឆួង	[kɑɲcʰuəŋ] <br>1). adj to be perforated, pierced by a hole;<br> characterized by a deep indentation
កញ្ឆើញ	[kɑɲcʰaəɲ] <br>1). adj to have a harelip
កញ្ឆើល	[kɑɲcʰaəl] <br>1). adj to be shrunken, worn
កញ្ឆៀង	<br>1). See: បញ្ឆៀង
កញ្ឆៀវ	[kɑɲcʰiev] <br>1). n kind of a sea mollusk
កញ្ឆេង	[kɑɲcʰeeŋ] <br>1). v to jump for joy
កញ្ឆេរ	[kɑɲcʰee] <br>1). n large two-handled basket (sometimes used for collecting garbage) See: ក្រឆេ
