ben	bdef
Ambrose	[Bishop of Milan who became one of the most influential ecclesiastical figures of the 4<sup>th</sup> Century, was one of the four Latin Doctors of the Church and strongly influenced Augustine of Hippo (c. 340-397 AD)] <p-l>អាមប្រុស។</p-l>
Amel-Marduk/Evil-merodach	(the son and successor of Nebuchadnezzar II who released King Jehoiachin from prison after thirty-seven years of captivity) <p-l>ស្ដេចអេវីស មេរ៉ូដាក។</p-l>
amen	(an expression of approval and support, generally placed at the end of a prayer) <p-l>អាម៉ែន។</p-l>
Amenemope	(the fourth pharaoh of the 21<sup>st</sup> Dynasty of Egypt who reigned 1001-992 BC) <p-l>ផារ៉ាន អាម៉េណេណូប៉េ។</p-l>
Amenophis III	(the ninth pharaoh of the 18<sup>th</sup> Dynasty of Egypt who reigned c. 1391-1353 BC) <p-l>ផារ៉ានអាមេណូហ៊្វីសទី៣។</p-l>
Amenophis IV	[the tenth pharaoh of the 18<sup>th</sup> Dynasty of Egypt (also known as Akhenaten) who reigned c. 1353-1336 BC] <p-l>ផារ៉ានអាមេណូហ៊្វីសទី៤។</p-l>
amillennialism	(a view that the millennium is a symbol of the age of the Church, and therefore, Satan was bound by Christ's work on the Cross) <p-l>បដិសហស្សវត្ស និយម។</p-l>
Ammihud	<p-l>អាំមិហ៊ូត</p-l>
Ammon	<p-l>អាំម៉ូន</p-l> Ammonites (people of Ammon) <p-l>សាសន៍អាំម៉ូន</p-l>
Ammunira	(King of Beirut in mid-14<sup>th</sup> Century BC, and an author of the Amarna Letters) <p-l>ស្តេចអាំមូរីរ៉ា។</p-l>
amnesty	(a pardon granted by the Crown or government) <p-l>ការលើកលែងទោសជាសាធារណៈ</p-l>
Amon, King...	<p-l>ស្តេចអាំម៉ូន</p-l>
Amorites	(a people descended from Canaan, son of Ham) <p-l>ពួកអាម៉ូរី</p-l>
Amos, Book of...	<p-l>កណ្ឌអេម៉ុស</p-l>
amplify	(vb) (to expand or enlarge a narrative, text) <p-l>បរិយាយបន្ថែម</p-l>
Amq plain	(located in northern Syria) <p-l>ទំនាបអាំ</p-l>
Amraphel, King...	(Gen. 14) <p-l>ស្តេចអារ៉ាដែល</p-l>
Amram	<p-l>អារ៉ាម</p-l>
Amramites, clan of the...	<p-l>គ្រួសារអារ៉ាម</p-l>
Amraphel, King...	(ruler of Shinar, Gen. 14:1) <p-l>ស្តេចអារ៉ាដែល</p-l>
amulet	(something small worn as protection against evil) <p-l>គ្រឿងវេទមន្ត</p-l>
Anabaptists	(groups from the Reformation period who held that believers' baptism is necessary for salvation) <p-l>អាណាបាទីស្ទ</p-l> (informal) <p-l>ពួកអ្នកដែលបានធ្វើពិធីជ្រមុជទឹកម្តង ទៀតពេលពេញវ័យ។</p-l>
anachronism	(a person or thing that appears to belong to another time) <p-l>វត្ថុឬមនុស្សប្រហែល ជានៅសម័យកាលផ្សេង</p-l> anachronistic <p-l>ដែលកាលវិរុទ្ធ។</p-l>
anagogical sense	(hermeneutics: a sense of understanding Scripture which derived heavenly meaning from earthly things) <p-l>អត្ថន័យដោយអាថ៌កំបាំងអំពីអធិធម្មជាតិ។</p-l>
analogy	(a comparison made to show a similarity) <p-l>ភាពស្រដៀងគ្នា</p-l> analogical (adj) <p-l>ដែល យកតាមគំរូអ្វីមួយ។</p-l>
analytical philosophy	(generic term for a style of philosophy that came to dominate English speaking countries in the 20th Century, characterized by emphasis on clarity, argument and a respect for natural sciences) <p-l>ទស្សនៈវិស័យវិភាគ។</p-l>
analyze	(vb) (to think about something carefully) <p-l>តម្រិះ</p-l>: (div) <p-l>ព្រះតម្រិះ</p-l>
Anamites	(a people descended from Mizraim, son of Ham) <p-l>ពួកអំណាមីម</p-l>
Ananias	<p-l>អាជ្ញានាស</p-l>
Anath	(a Canaanite deity) <p-l>ព្រះអំនា</p-l>
anathema	(a detested person or thing) <p-l>មនុស្ស ឬវត្ថុដែលគេស្អប់បំផុត</p-l>
Anathoth, Town of...	<p-l>ក្រុងអានាថោត</p-l>
Anatolia	(also known as "Asia Minor", the westernmost part of Asia, comprising of most of modern Turkey) <p-l>តំបន់អាណាតូលា។</p-l>
ancestor	(a person from whom another is directly descended, especially someone more distant than a grandparent) <p-l>ឰយុកោ (គ.បឰយុកោ គ.ខ.ប : បុព្វបុរស)</p-l> (pl) <p-l>ពួក ឰយុកោ។</p-l>
anchor	<p-l>យុថ្កា</p-l>
Ancient Near East	[location of ancient civilizations in an area that includes Mesopotamia, Ancient Egypt, Anatolia (modern Turkey) and the Levant (modern Syria, Lebanon, Israel and Jordan), and generally covers the time period from the rise of Sumer (4th Millenium BC) to the conquest of Alexander the Great (4th Century BC)] <p-l>តំបន់ភាគខាងកើតនៃមហាសមុទ្រមេឌីទែរ៉ាណេនាសម័យបុរាណ។</p-l>
Ancient of Days	(an Aramaic term that appears three times in the Book of Daniel, and is used in the sense of God being eternal) <p-l>ព្រះដ៏មានព្រះជន្មពីបុរាណ (គ.បៈ : ព្រះដ៏មានព្រះជន្មពីបុរាណ គ.ខ.បៈ : ព្រះជាម្ចាស់នៃពេលវេលាដែលមានព្រះជន្មាយុយឺនយូរ)។</p-l>¹
ancients, the....	<p-l>ពួកអ្នកសម័យបុរាណ</p-l>
Andrew	<p-l>អនទ្រេ</p-l>
Andronicus and Junius	<p-l>អាន់ត្រូនីក និងយូនាស</p-l>
ANE	(abbreviation "Ancient Near East”) <p-l>តំបន់ភាគខាងកើតនៃមហាសមុទ្រមេឌីទែរ៉ាណេនាសម័យបុរាណ។</p-l>
Aner	(Gen. 14:24) <p-l>អាន់នើរ</p-l>
anew	(adv) (over again, once more) <p-l>ជាថ្មី</p-l>
angel	(a class of spiritual beings attendant upon God) 19<p-l>វតា</p-l>
