ben	bdef
restore	(vb) (to return a structure to original condition) <p-l>ស្អាងឡើងវិញ</p-l> restoration <p-l>ការស្អាង ឡើងវិញ</p-l> restorer <p-l>អ្នកស្អាងឡើងវិញ។</p-l>
restore	(vb) (to return a relationship to original condition) <p-l>ស្តារឡើងវិញ</p-l> restoration <p-l>ការស្តារ ឡើងវិញ</p-l> restorer <p-l>អ្នកស្ដារឡើងវិញ។</p-l>
Restoration, the...	(the return of Judah to the Promised Land following the Exile in Babylon) <p-l>ការស្អាងឡើងវិញក្រោយនិរទេសបាប៊ីឡូន។</p-l>
resurrection	(the act or instance of a dead person coming back to life) <p-l>សេចក្តីរស់ឡើងវិញ</p-l> (div) <p-l>ការមានព្រះជន្មរស់ឡើងវិញ។</p-l>
Resurrection, the...	(resurrection of Jesus) <p-l>ការមានព្រះជន្មរស់ឡើងវិញនៃព្រះយេស៊ូវគ្រីស្ទ</p-l>
resurrection-life	(physical life after the general resurrection) <p-l>ជីវិតរស់ពីស្លាប់ឡើងវិញទូទៅ</p-l>
retainer	(a supporter or long serving servant) <p-l>អ្នករក្សាទុក</p-l>
retribution	(punishment or vengeance for wrong-doing, sin or injury) <p-l>សំណងយុត្តិធម៌</p-l> retributive (adj) <p-l>នៃសំណងយុត្តិធម៌។</p-l>
Return, the...	(return of Jesus at the end of this age) <p-l>ការយាងត្រឡប់មកវិញនៃព្រះយេស៊ូវគ្រីស្ទ</p-l>
Reu	(son of peleg, son of Eber) <p-l>រេហូវ</p-l>
Reuben	<p-l>រូបេន</p-l> (tribe of...) <p-l>អំបូររូបេន</p-l>
Reumah	(Gen. 22:24) <p-l>នាងរេយូម៉ា</p-l>
Rev.	(abbreviation "Book of Revelation") <p-l>វិវរ</p-l>.
revelation	(God's disclosure of his own nature and his purpose for humanity) <p-l>ការបើក សម្តែងរបស់ព្រះអម្ចាស់</p-l> revelatory (adj) <p-l>ដែលបើកសម្តែង។</p-l>
Revelation, Book of...	<p-l>កណ្ឌវិវរណៈនៃព្រះយេស៊ូវគ្រីស្ទ</p-l> (short) <p-l>វិវរណៈ</p-l>
revenge	(the act of retaliation for wrongs or injury received) <p-l>ការសងសឹក</p-l>
revere	(vb) (to respect profoundly) <p-l>គោរព (គ.បៈ: កោតខ្លាច គ.ខ.ប : គោរព)</p-l> reverence (n) <p-l>ការ គោរព។</p-l>
revival	(a general reawakening of faith or renewal of commitment to religion) <p-l>ចលនាធ្វើ ឲ្យ-រស់វិញខាងវិញ្ញាណ។</p-l>
Rheims Douay Bible	(a Bible translation from the Latin Vulgate into English by members of English College, Douai for the Roman Catholic Church) <p-l>ព្រះគម្ពីររ៉េមស៍ខូអេ</p-l> (short) <p-l>ព្រះគម្ពីរខូអេ។</p-l>
rhēma	(Greek “the message of the Gospel”) <p-l>ព្រះបន្ទូល (ភាសាក្រេក)</p-l>
Rhesa	<p-l>រេសា</p-l>
rhetoric	(the art of using speech to persuade or influence) <p-l>វោហារសាស្ត្រ</p-l>
rhetorical criticism	(the analysis of words, phrases, images, gestures, performances and discourses in general to show how they instruct, inform, move, convince and generally persuade their audience) <p-l>ការវិភាគខាងវោហារសាស្ត្រ</p-l> rhetorical critics <p-l>អ្នកវិភាគខាង វោហារសាស្ត្រនិយម។</p-l>
rib	(any of the curved elastic arches of bone that together form the chest wall) <p-l>ឆ្អឹងជំនីរ</p-l>
Rib-haddi	(a king of Byblos during mid-14th Century BC) <p-l>ស្តេចរឹបហាដឌី</p-l>
rich man	(a person well supplied with wealth, property etc.) <p-l>អ្នកមាន (គ.ប : អ្នកមាន គ.ខ.ប : សេដ្ឋី)។</p-l>
Ridderbos, Herman	[Reformed Dutch Professor of NT studies at the Free University of Amsterdam, and one of the most important NT theologians of the 20th Century because of his emphasis on biblical theology (1909-2007)] <p-l>បណ្ឌិតហើម៉ានរិឌីបុស</p-l> (short) <p-l>បណ្ឌិតរិឌីបុស។</p-l>
right	(adj) (in accordance with facts, reason or truth) <p-l>ត្រូវ</p-l>
right	(entitlement to a particilar privilege) <p-l>សិទ្ធិ</p-l> (div) <p-l>ព្រះរាជសិទ្ធិ</p-l>
righteous	(adj) (in accordance with God's standard of morality, justice and uprightness) <p-l>ដែលសុចរិត</p-l> “the righteous” <p-l>មនុស្សសុចរិត</p-l> righteousness <p-l>សេចក្តីសុចរិត។</p-l>
Righteous One, the...	(a Messianic title) <p-l>អ្នកដ៏សុចរិត</p-l>
Righteousness, Teacher of...	(a figure found in some Dead Sea Scrolls extolled as having proper understanding of the Torah and being the one through whom God would reveal God's will to the community) <p-l>គ្រូនៃសេចក្តីសុចរិត។</p-l>
Rim-Sin L, King...	[ruled the city-state of Larsha from 1758-1699 BC (short chronology) or 1822-1763 BC (middle chronology)] <p-l>ស្ដេចរឹម-ស៊ីនទី១។</p-l>
ring	(circular band, usually of precious metal, generally worn upon a finger) <p-l>ចញ្ចៀន</p-l>
Riphath	(son of Gomer) <p-l>រីផាត</p-l>
rite	(act or procedure in a religious ceremony) <p-l>ពិធីបុណ្យក្នុងសាសនា</p-l>
rite of aversion	(religious procedure used to purge evil influences) <p-l>ពិធីសាសនាចំពោះការដោះចេញសេចក្តីអាក្រក់។</p-l>
Ritschl, Albrecht	(a German theologian who developed a system where faith was underritual stood to be irreduceable to other experiences, beyond the scope of reason (1822-1889)] <p-l>បណ្ឌិតរឹតសិល។</p-l>
ritual	(prescribed form of religious ceremony) <p-l>ពិធី</p-l>
ritual	(a formal act or procedure) <p-l>ក្បួនរីត</p-l>
riot	(disturbance made by an unruly mob) <p-l>ការបះបោរ</p-l>
ritualism	(exaggerated emphasis on the importance of rites and ceremonies) <p-l>ការប្រកាន់ ពិធី។</p-l>
Robinson, J.A.T.	[New Testament scholar and Anglican Bishop of Woolwich, England, considered a major force in shaping liberal theology and a believer in universal salvation (1919-1983)] <p-l>បណ្ឌិតយ៉ូហាន រ៉ូប៊ីនសុន</p-l> (short) <p-l>រ៉ូប៊ីនសុន។</p-l>
Robinson, Henry W.	[English Baptist theologian and OT scholar (1872-1945)] <p-l>បណ្ឌិត ហេនីរ៉ូប៊ីនសុន។</p-l>
rock	(a hard mass of consolidated mineral matter; Matt. 16:18) <p-l>ថ្មដា (គ.ប : ថ្មដា គ.ខ.ប : ផ្ទាំង សិល)។</p-l>
rod	(cane) <p-l>រំពាត់</p-l>
rod	(staff) <p-l>ដំបង</p-l>
Rodanim	(a people descended from Javan, son of Japheth) <p-l>ពួកដូដានីម</p-l>
Rolle, Richard	[an English religious writer and Bible translator (1290-1349)] <p-l>វិឆាដរ៉ូល</p-l>
Rom.	(abbreviation "Letter to the Romans") <p-l>រ៉ូម</p-l>
Rom.	(adj) (abbreviation "Roman"; belonging to the Roman Empire) <p-l>នៃចក្រភពរ៉ូម</p-l>
Roman Catholic Church	(the denomination over which the Pope presides, with denomination headquarters in Rome) <p-l>និកាយរ៉ូម៉ាំងកាតូលិក</p-l> Roman Catholic (adj) is <p-l>កាតូលិករ៉ូម៉ាំង</p-l> (n) <p-l>សមាជិកនិកាយរ៉ូម៉ាំងកាតូលិក។</p-l>
Roman Catholicism	(the beliefs, practices and system of government of the Roman Catholic Church) <p-l>រ៉ូមាំងកាតូលិកនិយម។</p-l>
Roman Church	(reference to the "Roman Catholic Church") <p-l>និកាយរ៉ូម៉ាំងកាតូលិក</p-l>
Romanism	(a derogatory term for Roman Catholicism) <p-l>រ៉ូម៉ាំងកាតូលិកនិយម</p-l> Romanist <p-l>សមាជិកនិកាយរ៉ូម៉ាំងកាតូលិក។</p-l>
Romans, Letter to the...	<p-l>សំបុត្រដល់ពួករ៉ូម</p-l>
Rome, City of...	<p-l>ក្រុងរ៉ូម</p-l> (Empire of...) <p-l>ចក្រភពរ៉ូម</p-l>
root word	(grammar: the form of a word that remains after removal of all affixes) <p-l>មូល សព្ទ។</p-l>
Rosetta Stone	(an ancient Egyptian granodiorite stele inscribed with a decree issued at Memphis in 196 BC on behalf of King Ptolemy V) <p-l>ដុំថ្មរ៉ូសេត្តា។</p-l>
Rosh Hashanah	(Hebrew "Jewish New Year”) <p-l>ពិធីបុណ្យ រ៉ូស្សហាស្សាណា (ភាសាហេព្រើរ)</p-l> (informal) <p-l>ពិធីបុណ្យចូលឆ្នាំថ្មីសាសន៍យូដា។</p-l>
royal Psalms	(psalms emphasising how God works through the office of king) <p-l>ទំនុកតម្កើង ស្តេច។</p-l>
RSV	(abbreviation "Revised Standard Version”) <p-l>ព្រះគម្ពីរភាសាអង់គ្លេស</p-l> Revised Standard
Version	(1952)។
Ru.	(abbreviation "Book of Ruth”) <p-l>រស់</p-l>.
rule	(vb) (to exercise controlling authority) <p-l>ត្រួតត្រា (គ.ប : បង្ក្រាបត្រួតត្រា គ.ខ.ប : ត្រួតត្រាធ្វើ ជាម្ចាស់)។</p-l>
ruler	(person who exercises governmental authority) <p-l>អ្នកគ្រប់គ្រង</p-l> Ruler (div) <p-l>អង្គគ្រប់គ្រង</p-l>
runner	(a person who moves on foot at a rapid pace) <p-l>អ្នករត់</p-l>
Rushalimum	(name first appearing in the Egyptian Execration Texts) <p-l>រូសា-លីម៉ុម</p-l>
Rushworth Gospels	(a manuscript of the Latin Vulgate version of the four Gospels, written about 800AD) <p-l>កណ្ឌដំណឹងល្អរួសជីដ។</p-l>
Ruth, Book of...	<p-l>កណ្ឌនាងរស់ (គ.ខ.ស : នាងរួថ)</p-l>
RV	(abbreviation "Revised Version”) <p-l>ព្រះគម្ពីរភាសាអង់គ្លេស</p-l> Revised Version (1885)
S.	(abbreviation "South”, “Southern”) <p-l>ទិសខាងត្បូង</p-l>
Sa.	(abbreviation "Book of Samuel”) <p-l>សាំ</p-l>.
Sabbath	(Judaism: the seventh day of the week devoted to worship and rest from work) <p-l>ថ្ងៃឈប់សម្រាក (គ.ប : ថ្ងៃឈប់សំរាក គ.ខ.ប : ថ្ងៃឈប់សំរាក គ.គ.ខ : ថ្ងៃសប្បីទ)</p-l> sabbatic/
sabbatical	(adj) <p-l>នៃថ្ងៃឈប់សម្រាក។</p-l>
sabbatical year	(year during which the land was to be left uncultivated, debts annulled, etc.) <p-l>ឆ្នាំឈប់សម្រាក។</p-l>
Sabeans	(an ancient people who lived in mordern day Yemen, in the SW of the Arabian Peninsula) <p-l>សាសន៍សេបា។</p-l>
Sabellianism	(the belief that the Father, Son and Holy Spirit are only different aspects of one divine Person, but there is no permanent distinction) <p-l>សាបេលាសនិយម។</p-l>
Sabellius	(3rd Century bishop and theologian who taught that God is indivisible, with Father, Son and Holy Spirit being three modes or manifestations of one divine Person) <p-l>អភិបាលសាបេលាស។</p-l>
Sabtah	(son of Cush) <p-l>សាប់តា</p-l>
Sabteca	(son of Cush) <p-l>សាប់តិកា</p-l>
sacerdotal	(adj) (relating to, or characteristic, of priests) <p-l>នៃសង្ឃ</p-l>
sacrament	[an outward sign (Baptism and Lord's Supper) combined with a prescribed form of words] <p-l>អគ្គសញ្ញាគ្រីស្ទបរិស័ទ</p-l> (short) <p-l>អគ្គសញ្ញា</p-l> sacramental (adj) <p-l>នៃអគ្គ សញ្ញា-គ្រីស្ទបរិស័ទ</p-l> (short) <p-l>នៃអគ្គសញ្ញា</p-l> (informal) <p-l>ពិធីបុរិសុទ្ធ។</p-l>
sacramentalism	(doctrine asserting that observance of the sacraments is necessary for salvation and can confer grace) <p-l>អគ្គសញ្ញាគ្រីស្ទបរិសុទ្ធនិយម</p-l> (short) <p-l>អគ្គសញ្ញានិយម។</p-l>
sacramental theology	(teaching concerning the relationship between the nature of God and the sacraments) <p-l>ទេវសាស្ត្រនៃអគ្គសញ្ញាគ្រីស្ទបរិសុទ្ធ</p-l> (short) <p-l>ទេវសាស្ត្រនៃអគ្គសញ្ញា។</p-l>
sacred	(adj) (regarded with reverence, awe, or respect) <p-l>សក្ការៈ</p-l>
sacred history	(theology: those parts of the Exodus Torah narrative that resemble normal historical writing) <p-l>ប្រវត្តិសាស្រ្តពីនិក្ខមន់។</p-l>
sacrifice	(vb) (to ritually kill an animal or make as offering with the intention of propitiating or pleasing the deity) <p-l>ថ្វាយយញ្ញបូជា [(គ.បៈ យញ្ញបូជា ថ្វាយយញ្ញបូជា) (គ.ខ.បៈ យញ្ញបូជា ថ្វាយតង្វាយ) (គ.គ.ខៈ យញ្ញបូជា ថ្វាយតង្វាយ ថ្វាយយញ្ញបូជា)]</p-l> (n) (action of sacrifice) <p-l>ការថ្វាយយញ្ញបូជា</p-l> (n) (object sacrificed) <p-l>យញ្ញបូជា។</p-l>
sacrifice and offering”	<p-l>«ការថ្វាយយញ្ញបូជា និងតង្វាយ»</p-l>
sacrificial meal	(general reference to the Passover meal) <p-l>ពិធីបុណ្យរំលង</p-l>
sacrificial system, the...	(system of sacrifices prescribed in the Law) <p-l>ប្រព័ន្ធថ្វាយយញ្ញបូជា</p-l> sacrificial victim (the animal to be killed in a sacrifice) <p-l>សត្វដែលត្រូវថ្វាយយញ្ញបូជា</p-l>
Sadducees	(Judaism: the sect who denied the resurrection of the dead) <p-l>ពួកសាឌសី</p-l>
sage	(a man revered for his profound wisdom) <p-l>អ្នកប្រាជ្ញ</p-l>
saint	(person who is righteous in God's sight) <p-l>អ្នកបរិសុទ្ធ</p-l> saints (the...) <p-l>ពួកបរិសុទ្ធ (គ.បៈ ពួកបរិសុទ្ធ គ.ខ.ប : ប្រជារាស្ត្រដ៏បរិសុទ្ធ គ.គ.ខ : ពួកបរិសុទ្ធ)។</p-l>
Saints' Days	(Church calendar: days set aside for the celebration of the work of notable Christians) <p-l>ថ្ងៃរំឭកគ្រីស្ទបរិស័ទពិសេស។</p-l>
Salamis	(an ancient Greek city-state on the east coast of Cyprus, and part of the Roman province of Cilicia) <p-l>ក្រុងសាឡាមីស។</p-l>
Salem/Shalem, City of...	<p-l>ក្រុងសាឡិម</p-l>
Salim, village of...	<p-l>ភូមិសាលិម</p-l>
Salome Alexandra, Queen...	(the only Jewish ruling queen who reigned from 76-67 BC and was the last ruler of ancient Judaea to die as ruler of an independant kingdom) <p-l>រាជនីសាឡូម៉េ អីលេក្សានទ្រា។</p-l>
salt	(sodium chloride, generally together with impurities, used for seasoning and preserving food) <p-l>អំបិល។</p-l>
Salt Sea	(Gen. 14:3) <p-l>សមុទ្រអំបិល</p-l>
salutation	(a form of words used as an opening to a speech or letter) <p-l>វន្ទនាការ គារវកិច្ច</p-l> (informal) <p-l>ពាក្យគួរសម។</p-l>
salvation	(deliverance by redemption from the power of Sin and Death) <p-l>សេចក្តីសង្គ្រោះ</p-l>
salvation history	(the history of the redemption of humanity from the power of Sin and Death, through both the Old and the New Testament) <p-l>ប្រវត្តសាស្ត្រសេចក្តីសង្គ្រោះ។</p-l>
Samaria	(area surrounding the City of...) <p-l>ស្រុកសាម៉ារី</p-l> (City of...) <p-l>ក្រុងសាម៉ារី</p-l> Samaritans <p-l>សាសន៍សាម៉ារី។</p-l>
Samaritan Pentateuch	(a variation of the Pentateuch as used by the Samaritans) <p-l>គម្ពីរ បញ្ចកណ្ឌ-របស់ពួកសាម៉ារី។</p-l>
Samson	<p-l>សាំសុន</p-l>
Samuel, the Prophet...	<p-l>ហោរាសាំយូអែល</p-l>
Samuel, Book of...	<p-l>កណ្ឌសាំយូអែល</p-l>
sanctify	(vb) (to make holy) <p-l>ញែកជាបរិសុទ្ធ (គ.បៈ : ញែកជាបរិសុទ្ធ គ.ខ.ប : ប្រោសឲ្យបានបរិសុទ្ធ)</p-l>
sanctification	(n) <p-l>ការញែកជាបរិសុទ្ធ</p-l> sanctifier <p-l>អ្នកញែកជាបរិសុទ្ធ។</p-l>
sanction	(vb) (to give permission, authorization) <p-l>ផ្តល់សិទ្ធិ</p-l> sanction (n) <p-l>ការឲ្យផ្តល់សិទ្ធិ</p-l>
sanction	(the penalty laid down in a law for contravention of its provisions) <p-l>ទណ្ឌកម្ម</p-l>
sanctity	(holiness) <p-l>ភាពបរិសុទ្ធ</p-l>
sanctity	(anything regarded as holy) <p-l>លក្ខណៈឧត្តុង្គឧត្តម</p-l>
sanctuary	(a holy place) <p-l>ទីបរិសុទ្ធ (គ.ប : ទីបរិសុទ្ធ គ.ខ.ប : ទីសក្ការៈ)</p-l>
Sanders, E.P.	[NT scholar and a principal proponent of the New Perspective on Paul (1937-)] <p-l>បណ្ឌិតសានដើរ</p-l> (short) <p-l>សានដើរ។</p-l>
Sanhedrin	(the supreme judicial, ecclesiastical, and administrative council of the Jews) <p-l>ក្រុមប្រឹក្សាកំពូលសាសនាយូដា (គ.បៈ : ពួកក្រុមជំនុំ គ.ខ.បៈ អង្គប្រជុំ គ.គ.ខៈ: ក្រុមប្រឹក្សាកំពូល)</p-l> (short) <p-l>ក្រុមប្រឹក្សាយូដា។</p-l>
Sapphira	(Acts 5) <p-l>នាងសាភីរ៉ា</p-l>
Sarah	(Abraham's wife) <p-l>នាងសារ៉ា</p-l>
Sarai	(Abram's wife) <p-l>នាងសារ៉ាយ</p-l>
Sardis, City of...	(capital of the ancient kingdom of Lydia, one of the important cities of the Persian Empire, and location of one of the seven churches of Asia addressed in Revelation) <p-l>ក្រុងសើដេស។</p-l>
Sarepta, City of...	<p-l>ក្រុងសារិបតា</p-l>
Sargon I	(Akkadian emperor who reigned c. 2270-2215 BC) <p-l>អធិរាជសាហុនទី១</p-l>
Sargon II	[an Assyrian king who became the sole ruler of Babylonia after the death of Shalmaneser V until 705 BC, whose name appears at the capture of Ashdod in 711 BC (Is. 20:1)] <p-l>អធិរាជសាប្អូនទី២។</p-l>
sarx	(Greek "flesh") <p-l>ភាសាក្រេក «សាក» (សាច់ឈាមមនុស្ស)</p-l>
Satan	(the Devil, adversary of God, and tempter of humanity) <p-l>សាតាំង (គ.ប : សាតាំង គ.ឧ.ប មារលាតាំង)</p-l>
Saturninus	<p-l>សាធើនីនុស</p-l>
Saul	<p-l>សូល</p-l> (first king of Israel) <p-l>ស្តេចសូល</p-l>
savant	(a man of great learning) <p-l>អ្នកប្រាជ្ញ</p-l>
save	(vb) (to rescue, preserve or guard from the power of sin and death) <p-l>សង្គ្រោះ</p-l> saviour (one who saves) <p-l>អ្នកសង្គ្រោះ។</p-l>
Saviour	(a description applied to Jesus) <p-l>ព្រះអង្គសង្គ្រោះ</p-l>
saying	(n) (expression of a general truth) <p-l>ពាក្យទំនៀម</p-l>
sc	(abbreviation for *scilicet*: Latin "it is permitted to know") <p-l>ជាន័យ (ភាសាឡាតាំង)</p-l>
scapegoat	[goat used in the ritual of Yom Kippur (Lev. 16), symbolically laden with the sins of the people and sent into the Wilderness to be destroyed] <p-l>ពពែរងទោសជំនួស (គ.បៈ : ពពែបំបរបង់ គ.ខ.បៈ : ពពែអោយអាសាអែល)។</p-l>
scarab	(a type of beetle regarded by the Ancient Egyptians as divine, and represented in hieroglyphics as a symbol of the solar deity) <p-l>សត្វអណ្តើកមាស (ប្រភេទសត្វដូច កំភេម)។</p-l>
scarabeus	(a representation of a scarab beetle) <p-l>រូបតំណាងសត្វអណ្តើកមាស</p-l>
scatter	(vb) <p-l>បែកគ្នាសុសាយ (គ.ប : បែកគ្នាសុលាយ ខ្ចាត់ខ្ចាយកំចាត់កំចាយ គ.ខ.ប : បែកខ្ញែកគ្នា)</p-l>
scepticism	(the habitual doubt of accepted beliefs or authority) <p-l>ការសង្ស័យច្រើន</p-l> sceptic <p-l>មនុស្សមានការសង្ស័យច្រើន។</p-l>
sceptre	(a ceremonial staff held by a monarch as the symbol of authority) <p-l>ដំបងរាជ្យ (គ.បៈ ដំបងរាជ្យ គ.ខ.បៈ : ព្រះខ័នរាជ្យ)។</p-l>
Sceva	(Acts 19:14) <p-l>ស្ថេវ៉ា</p-l>
schism	(division of a group into opposing factions) <p-l>ធម្មភេទ</p-l>
schismatic	(adj) (relating to, or promoting schism) - (of ideas, opinion) <p-l>នៃដំណើរបែកមតិ</p-l>
Schlatter, Adolf	[evangelical theologian and professor specializing in NT and systematics at Greifswald, Berlin and Tübingen (1852-1938)] <p-l>បណ្ឌិតអាដូហ្វស្ងួតធើរ</p-l> (short) <p-l>ស្ងួតធើរ។</p-l>
Schleiermacher, Friedrich	[German theologian and philosopher known for his attempts to reconcile the criticisms of the Enlightenment with traditional Protestant orthodoxy, often called "the Father of Modern Liberal Theology" (1768-1834)] <p-l>បណ្ឌិតសឈើអីម៉ាឈើរ។</p-l>
scholar, biblical...	<p-l>សាស្ត្រាចារ្យព្រះគម្ពីរ</p-l> (short) <p-l>សាស្ត្រាចារ្យ</p-l>
scholarship	(learning, academic achievements) <p-l>ភាពមានវិជ្ជាជ្រៅជ្រះ</p-l>
Scholasticism	(a method of critical thought which dominated teaching by the academics of medieval universities of Europe, that emphasises dialectical reasoning to extend knowledge by inference, and to resolve contradictions) <p-l>ទស្សនវិជ្ជាទំនើប</p-l>
scholastic	(n) <p-l>អ្នកទស្សនវិទូទំនើប</p-l> (adj) <p-l>តាមទស្សនវិជ្ជាទំនើប។</p-l>
school	(theology: a body of people adhering to a certain set of principles, doctrines or methods) <p-l>ពួកអ្នក (ពួកសិក្សាមួយក្រុម)។</p-l>
Schweitzer, Albert	[an Alsatian Lutheran theologian, philosopher, organist, physician and medical missionary who depicted Jesus as one who erroneously believed the end of the world was coming in his own lifetime and himself to be a world saviour (1875-1965)] <p-l>បណ្ឌិតអាល់ប៊ើតស្វេតហៀរ</p-l> (short) <p-l>ស្វេតហៀរ។</p-l>
Scofield Reference Bible	(a widely circulated study Bible using the King James text and annotated by the American C.I. Scofield, that popularized dispensationalism at the beginning of the 20th Century) <p-l>ព្រះគម្ពីរស្រាវជ្រាជភាសាអង់គ្លេស</p-l> Scofield (1917)។
scorn	(vb) (open contempt or disdain for a person or thing) <p-l>មើលងាយ ត្មះតិះដៀល [(គ.បៈ ត្មះតិះដៀល សេចក្តីដំនៀល) (គ.ខ.បៈ : ជេរប្រមាថ មើលងាយ)] ។</p-l>
scornful, the...	<p-l>អ្នកប្រមាថ អ្នកមើលងាយ</p-l>
Scotism	(the philosophical and theological system or school named after John Duns Scotus) <p-l>ស្លុតទីសនិយម។</p-l>
scourge	(vb) (to whip or flog repeatedly) <p-l>វាយដំ</p-l>
screen	(the partition inside the Tabernacle) <p-l>វាំងនន</p-l>
scribe	(a recognized scholar and teacher of the Jewish Law) <p-l>អាចារ្យ [(គ.ប : ស្មៀន អាចារ្យ) (គ.ខ.ប : លេខា បណ្ឌិតខាងវិន័យ អាចារ្យ)]។</p-l>
script	(the letters, characters, or figures used in writing by hand) <p-l>អក្ខរៈ</p-l>
Scripture	(the OT and NT) <p-l>ព្រះគម្ពីរ</p-l>
scripture	(a quotation from the Bible) <p-l>បទគម្ពីរ</p-l>
scroll	(roll of parchment inscribed with writing) <p-l>រមូរផ្ទាំងស្បែកសម្រាប់សរសេរអក្សរ</p-l> (infomal) <p-l>ក្រាំង។</p-l>
SE	(abbreviation “south east”) <p-l>ទិសអាគ្នេយ៍</p-l>
seal	(vb) (to affix a seal to, as proof of authenticity) <p-l>បោះត្រា</p-l>
seal	(device impressed on a piece of wax, moist clay, etc. fixed to a document as a mark of authenticity) <p-l>ត្រា</p-l> (royal) <p-l>ប្រថាប់ត្រា។</p-l>
seance	(a meeting at which a spiritualist attempts to receive messages from the spirits of the dead) <p-l>ពិធីហៅខ្មោច។</p-l>
seat	(the centre in which something is located) <p-l>មជ្ឈមណ្ឌល</p-l>
seat	(elevated area that may serve as a bed or a place to sit upon) <p-l>កៅអី</p-l> (royal) <p-l>ព្រះទែន</p-l>
Seba	(son of Cush) <p-l>សេបា</p-l>
Second Adam	(title given to Jesus in the NT) <p-l>អ័ដាមទីពីរ</p-l>
Second Advent	<p-l>សូមមើល</p-l> Second Coming
Second Coming	(the prophesied return of Jesus Christ to earth at the Last Judgment) <p-l>ការយាង-មកជាលើកទីពីរ។</p-l>
Second Death	(eschatological concept related to punishment after a first, natural death) <p-l>សេចក្តីស្លាប់ទីពីរ។</p-l>
Second Exodus	(a description applied to the eschatological event when the faithful will leave this earth) <p-l>ការចាកចេញទីពីរ។</p-l>
second person	(grammar: category of pronouns and verbs used when referring to or describing the individual/s being addressed) <p-l>ទុតិយា</p-l> (informal) <p-l>បុរសទីពីរ។</p-l>
Second Revolt	(also known as "the Kitos War," was the second of the Jewish-Roman wars, where there were many revolts by diasporic Jews, from 115 to 117 AD) <p-l>ការបះបោរទី២របស់ពួកយូដា។</p-l>
Second Temple	(first constructed on the Temple Mount in Jerusalem c. 515 BC and destroyed by the Romans 70 AD) <p-l>ព្រះវិហារទីក្រុងយេរូសាឡឹមទីពីរ។</p-l>
Second Temple Judaism	[the religion of Judaism between the construction of the Second Temple (515 BC) and its destruction by the Romans (70 AD)] <p-l>សាសនាយូដានៅ សម័យព្រះវិហារទីពីរ។</p-l>
secret	(kept hidden from the knowledge of others) <p-l>អាថ៌កំបាំង</p-l>
secret arts	(reference to magic) <p-l>មន្តអាគម (គ.ប: របៀន គ.ខ.បៈ : មន្តអាគម)</p-l>
sect	(a sub-group of a larger religious group) <p-l>ក្រុមគណៈនិកាយ</p-l> sectarian (adj) (belonging or relating to a sect) <p-l>នៃក្រុមគណៈនិកាយ។</p-l>
sect	(a group deviating from orthodox tradition) <p-l>គណៈខុសឆ្គង</p-l>
sectarian interest	(relating to the interest of a particular sect or group) <p-l>ផលប្រយោជន៍ចំពោះ ក្រុមគណនិកាយមួយ។</p-l>
sectary	(member of a sect) <p-l>សមាជិកគណៈនិកាយ</p-l>
secular	(adj) (relating to worldly as opposed to sacred things) (positively) <p-l>ខាងផ្លូវលោកិយ</p-l> (negatively) <p-l>ដែលមិនទាក់ទងនឹងសាសនា។</p-l>
secular	(adj) (non-priestly) <p-l>ដែលអត់ជាសង្ឃ</p-l>
secular Greek	<p-l>សូមមើល</p-l> Greek
secular humanism	(a philosophy embracing human reason, ethics, social justice and philosophical naturalism, while specifically rejecting religious dogma, supernaturalism or superstition as the basis of morality and decision making) <p-l>មនុស្ស និយម។</p-l>
secularism	(doctrine that rejects religion) <p-l>អសាសនានិយម</p-l>
sedition	(an offence undermining the authority of the state) <p-l>ការនាំបំបះបំបោរ</p-l>
seduce	(vb) (to persuade to engage in sexual intercourse) <p-l>បញ្ចុះបញ្ចូលអោយរួមតំណេក</p-l>
seed	(offspring or descendants) <p-l>ពូជ</p-l>
seer	(a person who supposedly can see into the future) <p-l>អ្នកមើលឆុត (គ.បៈ អ្នកមើលឆុត គ.ខ.បៈ គ្រូទាយ)។</p-l>
Sefire	(reference to three stele containing Aramaic descriptions dating back to the mid8th Century BC) <p-l>សសរស្តម្ភស៊ីហ្វា។</p-l>
Seir	(hill country of...) <p-l>ភ្នំសៀរ</p-l>
Sejanus	(prefect of the Praetorium Guard, probably appointed Pontius Pilate to be governor of Judaea) <p-l>សេចានូស។</p-l>
Seleucid Empire	(a division of the former Macedonian Empire of Alexander the Great, established in 312 BC and overrun by the Roman Empire in 63 BC) <p-l>ចក្រភព សេលូស៊ីដ។</p-l>
Seleucidic Syria	(Syria under the rule of the Seleucidic Dynasty) <p-l>ស្រុកស៊ីរីក្រោមអំណាចសន្តតិវង្សលេលូស៊ីដ។</p-l>
Seleucids	(the family descended from Seleucus, one of Alexander's generals, who ruled the Seleucid Empire) <p-l>ពួកសេលូស៊ីដ។</p-l>
Seleucus I Nicator	[a leading officer of Alexander the Great who established the Seleucid Dynasty and the Seleucid Empire, reigning 305-281 BC (c. 358-281)] <p-l>អធិរាជ សេលូគូសទី១ នីកាទើរ។</p-l>
Seleucus II Callinicus	(ruler of the Hellenistic Seleucid Empire, who reigned 246-225 BC) <p-l>អធិរាជសេសូគូសទី២ កាលីនីគុស។</p-l>
