w	def
... ក៏ ... ដែរ	<ul><li>also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<ul><li>both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<ul><li>whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<ul><li>either... or...
... ក៏បានដែរ	<ul><li>... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
កខ្វាស	[kɑkvaah] 	<ul><li>adv slowly and laboriously (as a turtle crawling)
កខ្វិកកខ្វក់	[kɑkvək - kɑkvɑk] 	<ul><li>adj to be dirty
កខ្វិនកខ្វង់	[kɑkvən - kɑkvɑŋ] 	<ul><li>adj to be twisted, bent
កខ្វើក	[kɑkvaək] 	<ul><li>adv slowly and steadily
កខ្វេងកខ្វាក់	[kɑkveeŋ - kɑkvak] 	<ul><li>adj to be tangled, intricate
កខ្វេសកខ្វាស	[kɑkveeh - kɑkvaah] 	<ul><li>v to struggle to crawl or climb See: <p-a>កក្វិសកក្វាស់</p-a>
កង	[kɑɑŋ] 	<ul><li>n ring, circle;<br> bracelet, necklace, anklet;<br> circumference, periphery </li><li>n group, team, crew;<br> unit </li><li>v to carry (with the arms held up to the chest);<br> to clasp (with the hands or arms);<br> to form a circle;<br> to encircle. </li><li>clf an armful;<br> bundle;<br> bale </li><li>adj to be echoing, reverberating;<br> roaring. </li><li>adv loudly and in disorder
កង (បាញ់​) គាំទ្រ	<ul><li>fire support unit
កងក	[kɑɑŋ kɑɑ] [[កង]] [[ក]] 	<ul><li>necklace
កងការពារ	[kɑɑŋ kaa pie] [[កង]] [[ការពារ]] 	<ul><li>body guards, protection unit
កងការពារអាកាស	[kɑɑŋ kaa pie ʔaakaah] [[កងការពារ]] [[អាកាស]] 	<ul><li>anti-aircraft corps
កងកាំភ្លើងធំ	[kɑɑŋ kampləəŋ tʰom] [[កង]] [[កាំភ្លើងធំ]] 	<ul><li>artillery corps, artillery unit
កងកុមារ	[kɑɑŋ koʔmaa] [[កង]] [[កុមារ]] 	<ul><li>children's unit (KR - consisted of children between 7 and 15 who tended livestock and did other light chores)
កងកេង	[kɑɑŋ - keeŋ] 	<ul><li>n toucan See: <p-a>កេងកង</p-a>
កងកំឡាំង	[kɑɑŋ ------] [[កង]] [[កំឡាំង]] 	<ul><li>(military) force, armed force(s)
កងកំឡាំងធម្មតា	[kɑɑŋ ------ tʰoammeaʔ~tʰoam taa] [[កងកំឡាំង]] [[ធម្មតា]] 	<ul><li>conventional armed forces
កងកំឡាំងបេរេបៃតង	[kɑɑŋ ------ bav ree baytɑɑŋ] [[កងកំឡាំង]] [[បេ]] [[រេ]] [[បៃតង]] 	<ul><li>UN peace keeping force (lit. `Green Beret Force')
កងកំឡាំងប្រជាការពារ	[kɑɑŋ ------ prɑcie kaa pie] [[កងកំឡាំង]] [[ប្រជា]] [[ការពារ]] 	<ul><li>people's defense forces
កងកំឡាំងប្រដាប់អាវុធប្រជាជនរំដោះជាតិ​កម្ពុជា	<ul><li>Popular Armed Forces for the Liberation of the Cambodian Nation (title of the KR forces before they were driven out of Phnom Penh by the Vietnamese in 1979)
កងកំឡាំងរំដោះជាតិប្រជាពលរដ្ឋខ្មែរ	[kɑɑŋ ------ rumdɑh ciet prɑcie pʊəl roat~roattʰaʔ kmae] [[កងកំឡាំង]] [[រំដោះ]] [[ជាតិ]] [[ប្រជាពលរដ្ឋ]] [[ខ្មែរ]] 	<ul><li>Khmer People's National Liberation Armed Forces (military force of Son Sann's KPNLF) កងកំឡាំងអចិន្ត្រៃយ៍ regular forces, permanent army
កងក្រវែល	[kɑɑŋ krɑvael] [[កង]] [[ក្រវែល]] 	<ul><li>border patrol <li>guard patrol, guard detail
កងក្រោយ	[kɑɑŋ kraoy] [[កង]] [[ក្រោយ]] 	<ul><li>rear guard
កងខេមរភូមិន្ទ	[kɑɑŋ --i4-- ] [[កង]] [[ខេមរភូមិន្ទ]] 	<ul><li>Royal Guards </li><li>Royal Khmer Armed Forces (FARK) (1954 - 1970)
កងចលនូបត្ថម្ភ	[kɑɑŋ ------ ] [[កង]] [[ចលនូបត្ថម្ភ]] 	<ul><li>supply unit, logistics unit
កងចល័ត	[kɑɑŋ caʔlat] [[កង]] [[ចល័ត]] 	<ul><li>mobile group (in KR terms this was a group of workers or field hands), mobile unit
កងចៅ	[kɑɑŋ cav] 	<ul><li>n female servants in the Royal Palace
កងចំបើងមួយកង	[kɑɑŋ cɑmbaəŋ muə yɔɔ kɑɑŋ] [[កង]] [[ចំបើង]] [[មួយ]] [[កង]] 	<ul><li>to carry an armful of hay
កងច្រវាក់	[kɑɑŋ crɑvak] [[កង]] [[ច្រវាក់]] 	<ul><li>link (of a chain)
កងជរា	[kɑɑŋ ceaʔrie] [[កង]] [[ជរា]] 	<ul><li>old people's unit See: <p-a>កងមនុស្ស</p-a>​ចាស់, កងតាៗ
កងជីវពល	[kɑɑŋ cii vɔɔ pʊəl] [[កង]] [[ជីវពល]] 	<ul><li>home guard, militia, armed villagers
