ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ដេកផ្កាប់មុខ,"[deɛk pkap muk] [[ដេក]] [[ផ្កាប់មុខ]] <br>1). to sleep face down on one's abdomen.<br>#..). to sleep face down on the stomach."
ទៀបកោះ,"[tiəp kɑh] <br>1). n peninsula. See: ស្ទើរកោះ"
ស្លាកស្នាម,"[slaak snaam] <br>1). n mark
នាគេន្ទ្រ,"[niekeen] <br>1). n name of the Buddha's white elephant. 'Indra.') See: នាគិន្ទ Sanskrit
ងោចៗ,"[ŋooc-ŋooc] <br>1). a insistently
ខ្ញុំព្រះបាទ,"[kɲom preah baat] [[ខ្ញុំ]] [[ព្រះបាទ]] <br>1). I (used in addressing high government officials)."
ចង្អូទឹកចក្ខុ,"[------ tɨk ------] [[Aចង្អូ]] [[ទឹក]] [[ចក្ខុ??]] <br>1). tear-duct. See: ចង្អូទឹកភ្នែក"
ក៏ដោយ,"[kɑɑ daoy] [[ក៏]] [[ដោយ]] <br>1). whether or not
ឯកអគ្គរាជទូតគោចរ,"[ʔaek ʔaʔkeaʔ riec tuut koocɑɑ] [[ឯកអគ្គរាជទូត]] [[គោចរ]] <br>1). itinerant or roving ambassador."
ឯកសិទ្ធិខាងតុលាការ,"[ʔaek settʰiʔ~sət kʰaaŋ toʔlaakaa] [[ឯកសិទ្ធិ]] [[ខាង]] [[តុលាការ]] <br>1). jurisdictional privilege"
ឥត្ថាគារ,"[ʔettʰaakie] <br>1). n wing of a building reserved for high ranking women;<br> harem
អាណិកជន,"[ʔaaniʔkaʔcʊən] <br>1). n national
ពិស្ណុ,"[pɨhsnuʔ] <br>1). n Vishnu (one of the principal Brahman deities). See: វិស្ណុ Sanskrit viṣṇu"
ស្អៀច,"[sʔiǝc] <br>1). a in a round and firm manner. ពស់ថ្លាន់ពេនស្អៀច។ The python coils up spirally and firmly."
សម្ពាធរច្ចា,"[sampiet ------] [[សម្ពាធ]] [[Qរច្ចា]] <br>1). small cave."
កុដិ,"[kot] <br>1). n house or building where the Buddhist monks live within the temple compound. Sanskrit
អន្ទង,"[ʔɑntɔɔŋ] <br>1a). p to weave;<br> be woven. <br>1b). n woven cloth. <br>2). p to persuade
តំណឹង,"[tɑmnəŋ] <br>1). n strictness
អុតស្វាយ,"[ʔot svaa yɔɔ] [[អុត]] [[ស្វាយ]] <br>1). varicella
ប្រូង,"[prooŋ] <br>1a). i sound made by throwing something in the water;<br> splashing noise. <br>1b). nc splash. <br>2). n kind of spicy rice soup. See: បបរប្រូង"
បង្កក់,"[bɑŋkɑk] <br>1). p to gain victory
បស្សាសៈ,"[pahsaasaʔ] <br>1). n breath (taken into the lungs)
សុខា,"[sok ------] [[សុខ]] [[Fា]] <br>1). health"
ប្រូច,"[prooc] <br>1). a word used to describe the action of darting out of a small narrow place very quickly (as a rabbit out of a hole)."
ពភ្លឹះ,"[pɔplɨh] <br>1). a slowly
ស្រៈពេញតួ,"<br>1). See: ស្រៈ.<br>#..). independent vowel."
វចនាវសាន,"[------ vɔɔ ------] [[វចនា]] [[វ]] [[សាន]] <br>1). final words
ឱនភាពគ្រោង,"[ʔaoneaʔpʰiep krooŋ] [[ឱនភាព]] [[គ្រោង]] <br>1). anticipated deficit."
អស់អញ,"[ʔɑh-ʔɑɲ] <br>1a). p one's best
វិព្ភន្តកៈ,"[vippʰoantaʔkaʔ] <br>1). n confused person
គ្រប់តំបន់,"[krup tɑmbɑn] [[គ្រប់]] [[តំបន់]] <br>1). everywhere."
ច្រោះ,"[crɑh] <br>1). p to decant (to get clean or clear water). <br>2). p to cause a crack by erosion
ហត្ថបាស,"[hat baah] [[ហត្ថ]] [[បាស]] <br>1). hand trap. <br>2). allotted space required for one monk to sit so as to provide equal spacing between monks (approximately 30 inches);<br> allotted space required for the dishes of one monk and for spacing between dishes for each monk."
