#desc	Goːgle Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/goːgle-khmer-lexicon">seanghay</a> translated to G2K's phonetics.
#priority	2
borei	ɓoː.rəj
borgwarner	ɓɑːk.wɑː.nəː
bos	ɓoh
bosbov	ɓoh.sɓəw
boss	ɓoh
boston	ɓoːs.ton
bot	ɓɑt
botrei	ɓot.trəj
botum	ɓoʔ.tum
bou	ɓoː
bouk	ɓoːk
boun	ɓuːn
bour	ɓoː
bourei	ɓoː.rəj
boureirom	ɓoː.rəj.rum
bout	ɓoːt
boutique	ɓuː.thiːk
bowes	ɓoːw
boyd	ɓɔːj
boys	ɓɔːj
brabos	prɑ.ɓoh
brad	ɓrɛːt
bradesco	ɓrɛː.ɗɛːs.koː
bradley	ɓrɛːt.liː
brake	ɓreːk
brando	ɓrɛːn.ɗoː
brands	ɓrɛːn
braseth	prɑ.sət
brasva	prɑ.swaː
braval	prɑ.waːl
bread	ɓrɛːt
brendan	ɓrɛːn.ɗən
brennan	ɓrɛːn.nan
brewing	ɓruː.wiːŋ
bri	
bridge	ɓriːc
bridgestone	ɓrɨc.stoːn
brin	ɓriːn
brink	ɓriːŋ
brinker	ɓriːŋ.khəː
bristol	ɓriːs.toːl
broadcast	ɓrɑːt.khɛh
broadcom	ɓrɑːt.khɑm
broadridge	ɓrɑːt.riːc
brocade	ɓroː.ceːt
broccoli	proː.khoː.liː
brohut	prɑ.huːt
broker	ɓroːk.khəː
broːkdale	ɓruk.ɗɛːl
brosnan	ɓros.nan
brother	ɓraː.ɗəː
brothers	praː.ɗəː
brown	ɓraon
bruce	ɓruːh
brunswick	pruːn.swiːk
brussels	ɓruː.sɛːl
bt	
bu	ɓuː
buckeye	ɓak.ʔaːj
budapest	ɓuː.ɗaː.pɛh
buddha	ɓuː.ɗaː
budget	ɓat.cɨt
bueng	ɓəŋ
buffett	ɓuː.feː
build	ɓiəl
builders	ɓiːl.ɗəː
bullock	ɓuːl.lɑk
bun	ɓun
bung	ɓuŋ
buo	ɓuə
buon	ɓuən
buor	ɓuə
buos	ɓuəh
burlington	ɓəː.liːŋ.ton
business	ɓiː.siː.niːh
businessinsider	ɓih.siː.nih.ʔiːn.saːj.ɗəː
buy	ɓaːj
buzz	ɓah
bw	
by	ɓaːj
bycontext	ɓaːj.khɑn.thəc
bzh	
c	siː
ca	siː.ʔeː
cab	khɛːp
cabela	seː.ɓeː.laː
cable	khɛː.ɓɑːl
cablevision	khɛːp.leː.wiː.zən
cabot	kaː.ɓot
caci	kaː.kiː
caesar	siː.saː
caesars	seː.saː
cafe	kaː.feː
café	khaː.feː
cage	kheːc
cake	kheːk
cal	khal
calcaterra	khal.khaː.teː.raː
calendar	khɛː.lɛːn.ɗaː
caleres	khaː.ləː.rɛːh
calif	khaː.liːf
california	khaː.liː.fɑː.ɲaː
call	khɑːl
calpine	khal.phaːɲ
calumet	kaː.luː.meːt
cam	khɛːm
camasean	khaː.maː.siən
cambodge	cɛːm.ɓoːc
cambodia	khɛːm.ɓoː.ɗie
cambodiaclick	khɛːm.ɓoː.ɗie.kliːk
cambodiadaily	khɛːm.ɓoː.ɗie.ɗeː.liː
cambodian	khɛːm.ɓoː.ɗien
cambomag	khɛːm.ɓoː.mɛːk
cambomu	khɛːm.ɓoː.muː
cambosport	khɛːm.ɓoː.spɑːt
camdolls	khɛːm.ɗɔːl
camegie	khaː.meː.giː
camera	kaː.meː.raː
cameron	khaː.meː.ruːn
camfe	khɛːm.fiː
camhr	khɛːm.ʔeːch.ʔɑː
camnews	khɛːm.ɲuː
camp	khɛːm
campbell	khɛːm.ɓɑːl
camtoptec	khɛːm.thɑːp.thəc
camzons	khɛːm.zoːn
canadian	khɛːn.naː.ɗiən
cancerresearch	khɛːn.səː.riː.səːc
canon	kaː.noŋ
capdi	khap.ɗiː
capetown	khɛːp.thaon
capital	khɛː.phiː.thɑːl
caravan	khaː.raː.wɛːn
card	khaːt
cardboard	khaːt.ɓɑːt
cardinal	kaː.ɗiː.nal
cards	khaːt
care	khɛə
careːr	khɛː.riə
careːrs	khɛː.riə
carefusion	khɛə.fjuː.sən
carell	khaː.rɛːl
carlisle	khaː.liː.sɑːl
carlos	khaː.loːh
carlyle	khaː.lal
carmax	khaː.mɛːk
carol	khaː.roːl
caroline	khaː.roː.laːɲ
carpenter	khaː.phɛːn.thəː
carrey	khɛː.riː
cars	khaː
carter	khaːt.thəː
cartier	khaː.thiə
cas	khah
casa	kaː.zaː
casaherbalife	kaː.saː.həː.ɓɑːl.laj
cascade	khas.keːt
casey	khaː.siː
cash	khaeh
casino	kaː.siː.noː
castle	khaː.sɑːl
castparts	khaːs.phaːt
cat	khɛːt
catalase	khɛː.taː.lah
catering	khɛː.thəː.riːŋ
caterpillar	khɛː.thəː.phiː.laː
caughan	caw.gɛːn
cba	
cc	siː.siː
ccf	siː.siː.ʔɛːf
cchr	siː.siː.ʔeːch.ʔɑː
ccr	siː.siː.ʔɑː
cd	siː.ɗiː
ce	siː.ʔiː
ceb	
cec	siː.ʔiː.siː
cedac	seː.ɗak
cel	sɛːl
celanese	seː.laː.niːh
celestial	seː.lɛː.sɑːl
celgene	sɛːl.cɨn
cellcard	sɛːl.khaːt
cen	siː.ʔiː.ʔən
centech	sən.təc
centene	sɛːn.thiːn
center	sɛːn.thəː
centerpoint	sɛːn.thəː.phoaɲ
central	sɛːn.trɑːl
centre	sɛːn.thəː
century	sɛːn.tjuː.riː
centurylink	sɛːn.tjuː.riː.liːŋ
cern	səːn
cerner	səː.nəː
cersex	səː.səc
cfd	
ch2m	
cha	caː
chab	cap
chachak	cɑː.cɑːk
chachat	cɑː.caːt
