#desc	2022 version of the <a href="https://play.google.com/store/apps/details?id=com.optimiskh.chuonnathdictionary&hl=en-US">Chuon Nath Digital Dictionary</a>
#priority	1
#word	khph	def
កងនាវា	[កង-នា-វា]	<ul><li><strong>ន.</strong> អង្គភាពកងទ័ពដែលជាផ្នែកមួយនៃកងទ័ពជើងទឹក មានជំនាញខាងនាវាចរណ៍។</li></ul>
កងពល	[កង-ពល់]	<ul><li><strong>ន.</strong> អង្គភាពយោធាដែលមានរចនាសម្ព័ន្ធការងារតាមការកំណត់របស់ក្រសួងការពារជាតិ<em> :កងពលតូច, កងពលធំ, កងពលធំអន្តរាគមន៍។</em></li></ul>
កងពលតូច	[កង-ពល់-តូច]	<ul><li><strong>ន.</strong> កងប្រដាប់អាវុធ ដែលមានឋានានុក្រមបន្ទាប់ក្រោមកងពលធំ។</li></ul>
កងពលធំ	[កង-ពល់-ធំ]	<ul><li><strong>ន.</strong> កងប្រដាប់អាវុធដែលមានឋានានុក្រមខ្ពស់ជាងគេ។</li></ul>
កងព័ន្ធ	[កង-ពាន់]	<ul><li><strong>ន.</strong> ពិធីបុណ្យទ្វាទសមាសសម្គាល់ដោយទង់ជ័យចងបោះនៅទូក ទូកនោះចងពួរបោះយុថ្កានៅកណ្ដាលស្នាមប្រណាំងទូក-ង ដើម្បីឱ្យទូក-ងដែលប្រណាំងគ្នា ១អុំខាងក្នុង ១អុំខាងក្រៅ។</li></ul>
កងមាស	[កង-មាស]	<ul><li><strong>ន.</strong> ឈ្មោះស្រុកមួយឋិតនៅតាមទន្លេមេគង្គ រួមចូលក្នុងខេត្តកំពង់ចាម។</li></ul>
កងយោធពលខេមរភូមិន្ទ	[កង-យោ-ធៈ-ពល់-ខេ-ម៉ៈ-រ៉ៈ-ភូ-មិន]	<ul><li><strong>ន.</strong> កងទ័ពទាំងបីប្រភេទ ដែលមានព្រះមហាក្សត្រជាអគ្គមេបញ្ជាការ<em> :កងយោធពលខេមរភូមិន្ទនៃព្រះរាណាចក្រកម្ពុជា។</em></li></ul>
កងរាក់	[កង-រាក់]	<ul><li><strong>ន.</strong> កងដៃមួយប្រភេទ ដែលមានមុខកាត់បីជ្រុងរាងដូចទ្រនុងខ្នងសត្វពស់ដោយមានឆ្លាក់ក្បាច់ភ្ញី។</li></ul>
កងរាជអាវុធហត្ថ	[កង-រាច-អា-វុត-ហ័ត]	<ul><li><strong>ន.</strong> ផ្នែកនៃកងយោធពលខេមរភូមិន្ទដែលមានស្វ័យភាពក្នុងកិច្ចអនុវត្តច្បាប់លើពលរដ្ឋស៊ីវិលនិងយោធា<em> :កងរាជអាវុធហត្ថលើផ្ទៃប្រទេស, កងរាជអាវុធហត្ថខេត្ត។</em></li></ul>
កងរឹត	[កង-រឹត]	<ul><li><strong>ន.</strong> ប្រដាប់រឹតបន្តឹងសាច់ក្រណាត់ មានសណ្ឋានជារង្វង់ប្រើក្នុងការដេរប៉ាក់<em> :កងរឹតប្រើខ្ចៅមួល។</em></li></ul>
