#desc	ANT dictionary from <a href="https://antkh.com">antkh.com</a>
#priority	3
កញ្ជនដៃ	នាម 1.Name of a kind of freshwater fish, possibly a kind of carp. ▪ ស្មើនឹង​ពាក្យ ៖ កន្ទនដៃ<br/>
កញ្ជប់	1.Unwilling to repay one's debt, unwilling to give back a borrowed object. <br/>
កញ្ជរ	នាម 1.Elephant.  2.Ancient name for the province of Kratié. <br/>
កញ្ជា	នាម 1.(បច្ចេកទេស) Marijuana <br/>
កញ្ជាក់	1.Residue of something already chewed up. <br/>
កញ្ជុសមាន់	នាម 1.(បច្ចេកទេស) Papular urticaria  2.Name of a skin rash that itches when one sweats. <br/>
កញ្ជូ	1.Rude, vulgar, impolite, insolent. <br/>
កញ្ជើរ	នាម 1.A type of woven basket (about 12 inches in diameter). <br/>
កញ្ជើរជំតោះ	នាម 1.A type of basket with legs. <br/>
កញ្ជះ	1.Slave, serf. <br/>
កញ្ជះកញ្ជាយ	កិរិយាសព្ទ 1.To neglect, waste (one's wealth) ; to be negligent, disorganised, careless; in disorder. <br/>
កញ្ជ្រាំង	នាម 1.Culm or haulm. <br/>
កញ្ជ្រិល	1.Measles. <br/>នាម 1.Of kind of medicinal. plant used as a cure for measles. <br/>
កញ្ជ្រូក	នាម 1.Name of a small fish (possibly a loach). <br/>
កញ្ជ្រួច	1.Fire ▪ ស្មើនឹង​ពាក្យ ៖ កាំជ្រួច<br/>នាម 1.Pump, syringe. <br/>
កញ្ជ្រួចបាចទឹក	1.Water pump. <br/>
កញ្ជ្រួចម្សេវ	នាម 1.Rocket. ▪ ស្មើនឹង​ពាក្យ ៖ កាំជ្រួចម្សេវ<br/>
កញ្ជ្រៀប	នាម 1.A small kind of cucumber. <br/>
កញ្ជ្រៀវ	កិរិយាសព្ទ 1.To shout, to cry, to roar, to whinny. <br/>
កញ្ជ្រោក	កិរិយាសព្ទ 1.To mix together.  2.To cause a liquid to gush out; to emit; propel; to splash and play in water (as children). <br/>
កញ្ជ្រោកលាយគ្នា	កិរិយាសព្ទ 1.To mix together. <br/>
កញ្ជ្រោង	នាម 1.Fox. <br/>
កញ្ជ្រោល	កិរិយាសព្ទ 1.To be very angry. <br/>
កញ្ឈួស	កិរិយាសព្ទ 1.To scrape the foot on the ground (of elephants only). ▪ ក្លាយមកពីពាក្យ ៖ ឈួស<br/> 2.To clean the scales from a small fish by carefully hitting it with a bamboo stick while the fish is soaking in water. <br/>
កញ្ឈួសដី	កិរិយាសព្ទ 1.To rub the ground with the feet. <br/>
កញ្ញា	1.September ▪ ស្មើនឹង​ពាក្យ ៖ កញ្ញារាសី<br/> 2.Young woman, unmarried girl, miss <br/>នាម 1.(បច្ចេកទេស) Miss  2.Name of the sign of the zodiac corresponding to September <br/>
កញ្ញាកិត្ដិយស	1.Maid of honour. <br/>
កញ្ញារាសី	▪ ស្មើនឹង​ពាក្យ ៖ កញ្ញា<br/>
កញ្ញាសុផា	នាម 1.Miss Sopha. <br/>
កញ្ញាឯក	នាម 1.The most beautiful girl. <br/>
កញ្ញាឯកកម្ពុជា	នាម 1.Miss Cambodia. <br/>
កញ្ញាឯកចក្រវាឡ	នាម 1.(បច្ចេកទេស) Miss Universal <br/>
កញ្ញាឯកអាស៊ី	នាម 1.Miss Asia. <br/>
កញ្ញូធម៌	1.Gratitude. <br/>
កញ្រ្ចិល	នាម 1.(វេជ្ជសាស្ត្រ) Measles ▪ ស្មើនឹង​ពាក្យ ៖ ជំងឺកញ្ច្រិល<br/>
កញ្រ្ចែង	នាម 1.(បច្ចេកទេស) Trug <br/>
កញ្រ្ចែងដាក់ឯកសារ	នាម 1.(បច្ចេកទេស) Filing basket, filing tray <br/>
កញ្រ្ចែងម៉ាស៊ីនកិន	នាម 1.(បច្ចេកទេស) Plate mill <br/>
កញ្រ្ជោង	នាម 1.(បច្ចេកទេស) Fox <br/>
កដាសុធាគត	នាម 1.Calcareous shell, limestone made of burned sea shells. <br/>
កដិប្បទេស	នាម 1.Lumbar region (of the back). <br/>
កដិពន្ធ	នាម 1.Spindle. <br/>
កដិពន្ធនាឡិកា	នាម 1.Time-belt, time-zone, hour zone, girdle <br/>
កឋិន	1.Ceremony to cover the monk's clothing. <br/>
កណរោគ	នាម 1.Trachoma. <br/>
កណសិលា	នាម 1.Granite. (S. grain, stone) <br/>
កណាណ្ឌ	នាម 1.Eggshell. <br/>
កណិកសិលា	នាម 1.Granulite. <br/>
កណ្ដាច់	1.Shredded, torn to pieces, cut off. ▪ ក្លាយមកពីពាក្យ ៖ ដាច់<br/>
កណ្ដាប់	1.Sheaf (of rice), bunch, bouquet. ▪ ក្លាយមកពីពាក្យ ៖ ក្ដាប់<br/>នាម 1.Circle, circular or round object. <br/>
កណ្ដាប់ចង្អេរ	1.Piece of bamboo bent in a circle, to form the rim of a basket. name of a tree. <br/>
កណ្ដាប់ដៃ	1.Grasp, fistful, fist.<br/>ឧទាហរណ៍៖ ខ្ញុំបានអំណាចក្នុងកណ្ដាប់ដៃហើយ<br/>Example: I hold power in my grasp. <br/>
កណ្ដាប់ស្រូវ	1.Rice sheaf.  2.Bundle of rice. <br/>
កណ្ដាល	1.Central, average, medium  2.Middle, center, middle part; <br/>នាម 1.Name of a province in Cambodia. ▪ ស្មើនឹង​ពាក្យ ៖ ខែត្រកណ្ដាល<br/>
កណ្ដាលអាកាស	1.In the air, inthe atmosphere, in the sky. <br/>
កណ្ដាលអាយុ	1.Middle-age. <br/>
កណ្ដាស់	កិរិយាសព្ទ 1.To sneeze. <br/>
កណ្ដឹង	នាម 1.Small bell usually round the neck of an ox. <br/>
កណ្ដុក	នាម 1.The spleen. <br/>កិរិយាសព្ទ 1.To think about. <br/>
កណ្ដុរ	1.Mouse, rat.<br/>ឧទាហរណ៍៖ ឆ្មាមិននៅកណ្ដុរឡើងរាជ្យ។<br/>Example: (prov) When the cat's away, the rat ascends the throne. (=When the cat's away the mice will play) <br/>
កណ្ដុរបង្កង់	1.Mouse.  2.Kind of small mouse. <br/>
កណ្ដុរប្រមេះ	1.Small black species of mouse. <br/>
កណ្ដុរប្រែង	1.Rat. <br/>
កណ្ដុរស្រែ	1.Field mouse (larger than the common American species). <br/>
កណ្ដូង	1.Having no tail (of chickens, kites). <br/>
កណ្ដូប	1.Grasshopper. <br/>
កណ្ដូបសេះ	1.Praying mantis. <br/>
កណ្ដួយ	នាម 1.(INDECENT) Vagina, vulva <br/>
កណ្ដៀង	1.Grass with bright blue flowers. <br/>នាម 1.Sapphire. ▪ ស្មើនឹង​ពាក្យ ៖ និល<br/>
កណ្ដៀងស្វាយ	1.Amethyst. <br/>
កណ្ដៀត	កិរិយាសព្ទ 1.To carry something on the hip <br/>
កណ្ដៀតក្អម	នាម 1.Hip joint. <br/>
កណ្ដៀទៀ	នាម 1.Flying squirrel. <br/>
កណ្ដៀន	1.Full, complete, thick (because of muscles or fat), fat; full of anything. <br/>
កណ្ដៀរ	1.Termite, white ant ▪ អាចសរសេរជា ៖ កណ្ឌៀរ ក៏បាន<br/>
កណ្ដៀរខ្មូត	▪ ស្មើនឹង​ពាក្យ ៖ បង្ហៀរខ្នូត<br/>
កណ្ដៀវ	1.Sickle, reaping hock.<br/>ឧទាហរណ៍៖ ឆ្នាំនេះកណ្ដៀវសោយរាជហើយ<br/>Example: This year the crop is bad. lit: This year the sickle will reign. <br/>
កណ្ដោលបាទ	នាម 1.A species of tree related to កណ្ដោល <br/>
កណ្ឋ	នាម 1.Throat, neck. <br/>
កណ្ឌ	1.(បាលី) Section, portion, paragraph  2.Chapter, volume, fascicle, section; enclosure. <br/>នាម 1.Arrow, bullet, arrow-shaft  2.Stem of (a fruit), internal section of a stalk. <br/>
កណ្ឌជៈ	នាម 1.Velar sound, guttural sound. <br/>
កណ្ឌៀរ	▪ មើលពាក្យ ៖ កណ្ដៀរ<br/>
កណ្តក់សញ្ញា	នាម 1.(បច្ចេកទេស) Camma <br/>
កណ្តាញ់	នាម 1.(បច្ចេកទេស) (ដែលកណ្តាញ់) Matted <br/>
កណ្តាប់	នាម 1.(បច្ចេកទេស) Sheaf <br/>
កណ្តាប់ឬដុំស្មៅ	▪ ស្មើនឹង​ពាក្យ ៖ ហាលដុំចំបើង<br/>
កណ្តាល	នាម 1.(បច្ចេកទេស) Middle, central <br/>
កណ្តាលដើមទ្រូង	គុណនាម 1.(វេជ្ជសាស្ត្រ) (នៃកណ្តាលដើមទ្រូង) Mekeastinal <br/>
កណ្តាលទីក្រុង	នាម 1.(បច្ចេកទេស) Inner city, city centre <br/>
កណ្តាលសមុទ្រ	នាម 1.(បច្ចេកទេស) Open sea <br/>
កណ្តាស់	កិរិយាសព្ទ 1.(បច្ចេកទេស) Sneeze <br/>
កណ្តាស់ជាប់ជាបន្ត	នាម 1.(បច្ចេកទេស) Repetitive sneezing <br/>
កណ្តឹង	នាម 1.(បច្ចេកទេស) Bell <br/>
កណ្តុរតូចៗ	នាម 1.(បច្ចេកទេស) Mouse <br/>
កណ្តុរប្រែង	នាម 1.(បច្ចេកទេស) Rat <br/>
កណ្តុរស្រែ	នាម 1.(បច្ចេកទេស) Field mouse <br/>
កណ្តូប	នាម 1.(បច្ចេកទេស) Grasshopper <br/>
កណ្តូបសេះ	នាម 1.(បច្ចេកទេស) Praying mantis <br/>
កណ្តូបអង់តែនខ្លី	នាម 1.(បច្ចេកទេស) Short-horned grasshopper <br/>
កណ្តូបអង់តែនវែង	នាម 1.(បច្ចេកទេស) Long horned grasshopper <br/>
កណ្តៀរ	នាម 1.(បច្ចេកទេស) Termite <br/>
កណ្តៀវ	នាម 1.(បច្ចេកទេស) Sickle <br/>
កណ្តៀវបារាំង	នាម 1.(បច្ចេកទេស) Scythe <br/>
កណ្តៀវស្រូវ	នាម 1.(បច្ចេកទេស) Ricesickle <br/>
កណ្ហេយ	កិរិយាសព្ទ 1.To cry. <br/>
កតញ្ញុតា	នាម 1.Thankfulness, gratitude, gratefulness. <br/>
កតញ្ញូ	1.He who remembers the goodness done to him, a recipient who announces kindness received, one manifesting gratitude. <br/>
កតវេទិតា	នាម 1.Gratitude. <br/>
កតវេទី	1.Grateful. <br/>នាម 1.One who repays, goodness which others have, done to him; <br/>
កតាវសាន	នាម 1.Insistence; persistence. <br/>
កតិកា	នាម 1.Settlement, adjustment. agreement; conversation. <br/>
កតិកាសញ្ញា	នាម 1.Pact, treaty, agreement, alliance. <br/>
កត់ចូលបញ្ជីធំ	កិរិយាសព្ទ 1.(បច្ចេកទេស) Make an entry in a ledger <br/>
កត់ចំលង	នាម 1.(បច្ចេកទេស) Transcribe <br/>
កត់ឈ្មោះ	កិរិយាសព្ទ 1.To take note of a name. <br/>
កត់ត្រាជាមុន	គុណនាម 1.(បច្ចេកទេស) (ដែលកត់ត្រាជាមុន) Pre-recorded <br/>
កត់ត្រាឈ្មោះចូលបញ្ជី	1.(បច្ចេកទេស) (ការកត់ត្រាឈ្មោះចូលបញ្ជី) Logging in <br/>
កត់ត្រាដំបូង	នាម 1.(បច្ចេកទេស) (ការកត់ត្រាដំបូង) Picture records <br/>
កត់ត្រាទុក	នាម 1.(បច្ចេកទេស) (ការកត់ត្រាទុក) Recording <br/>
កត់ត្រាមុន	នាម 1.(បច្ចេកទេស) (ការកត់ត្រាមុន) Preceding record <br/>
កត់ត្រាម៉ោងចេញពីធ្វើការ	នាម 1.(បច្ចេកទេស) (ការកត់ត្រាម៉ោងចេញពីធ្វើការ) Clocking out <br/>
កត់ត្រាយ៉ាងត្រឹមត្រូវ	នាម 1.(បច្ចេកទេស) On record <br/>
កត់ត្រាឯកសារមិនត្រឹមត្រូវ	នាម 1.(បច្ចេកទេស) (ការកត់ត្រាឯកសារមិនត្រឹមត្រូវ) Irregular documentation <br/>
កត់ភិន	កិរិយាសព្ទ 1.To establish the identity (of someone or something), to identify. <br/>
កត់សំគាល់	កិរិយាសព្ទ 1.To note and keep fresh in mind, to make a remark, to remark, to notice. <br/>
កត់ឱ្យនៅនឹង	កិរិយាសព្ទ 1.To stop and cause to remain still. <br/>
កត្ដា	នាម 1.Condition, factor. <br/>
កត្ដិក	▪ អាចសរសេរជា ៖ កាតិក ក៏បាន<br/>▪ មើលពាក្យ ៖ ខែកត្ដិក<br/> 1.30 days. ▪ ស្មើនឹង​ពាក្យ ៖ កត្ដិកឬក្ស<br/> 2.October-November <br/>
កត្ដិកឬក្ស	▪ ស្មើនឹង​ពាក្យ ៖ កត្ដិក<br/>
កត្ដុវាចកកិរិយាសព្ទ	នាម 1.(វេយ្យាករណ៍) Active verb <br/>
កត្តា	នាម 1.(បច្ចេកទេស) Factor <br/>
កត្តាខាងក្នុង	នាម 1.(បច្ចេកទេស) Internal factor <br/>
កត្តាខាងក្រៅ	នាម 1.(បច្ចេកទេស) External factor <br/>
កត្តាចំណាយ	នាម 1.(បច្ចេកទេស) Pay factor <br/>
កត្តាជះឥទ្ធិពល	នាម 1.(បច្ចេកទេស) Enfluencing factor <br/>
