ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ຢາມ	ກ.	ເບິ່ງສິ່ງທີ່ໃສ່ ຫລື ຫ້າງໄວ້ເພື່ອເອົາສັດ (ດັ່ງຢາມເບັດ, ຢາມລອບ), ທົດລອງ    (ດັ່ງເອົາມືຈຸ່ມເບິ່ງນໍ້າຕົ້ມວ່າຮ້ອນແລ້ວຫລືຍັງ), ໄປຫລືມາຖາມຂ່າວຄວາມສຸກທຸກ.  	
ຢືມ	ກ.	ເອົາເງິນຫລືສິ່ງຂອງຜູ່ອື່ນມາໃຊ້ໂດຍສັນຍາວ່າ ຈະສົ່ງຄືນ. 	
ຢົມຢັ່ງ	ກ.	ຝັງລົງ, ຢັ່ງລົງ "ຄຶດໃຫ້ຖອງເຖິງພື້ນສເມີບົວຢົນຢັ່ງ" 	
ຢ້ຽມ	ກ.	ເບິ່ງ, ປ່ອນຫົວອອກເບິ່ງ, ສ່ອງເບິ່ງ, ວ. ໄປມາຖາມຂ່າວກັນ. 	
ຢ້າວ	ນ.	ເຮືອນ, ເຮືອນທີ່ບໍ່ມີຂື່ ໃຊ້ເສົາແຖວກາງສູງເປັນບ່ອນພາດໄມ້ອົກໄກ່ ເອີ້ນເຮືອນ    ຢ້າວ. 	
ໂຢ້ວ!	ອຸ.	ເປັນຄຳເວົ້າຂຶ້ນໃນເວລາທັກທ້ວງ. 	
ຢຽວ	ກ.	ຢື້ (ຢຽວຢື້) ວ. ລາງເທື່ອ, ບາງທີ, ຫາກວ່າ "ໄມ້ບໍ່ທັນແທກດ້າມ ຢ່າຟ້າວອ່າວຫວນ    ຕັດ ຢຽວບໍ່ເຖິງພາຍລຸນຊິເຄີກມືເມືອໜ້າ". 	
ຢຽວວ່າ	ກ.	ຄຶດວ່າ ຫລື ແມ່ນວ່າ. 	
ຣ	ພຍັນຊນະຕົວທີ 22 ເປັນພວກອັກສອນຕໍ່າ ໃຊ້ເປັນຕົວສະກົດພິເສດໃນພຍາງກາງຄຳ    ອອກສຽງດັ່ງຕົວ ນ ສະກົດດັ່ງ ສວັຣຄົດ ຯລຯ 	
ຣະຊະຕະ	ນ.	ເງິນ (ປ.) 	
ຣະຊະນີ	ນ.	ເວລາຄໍ່າ, ກາງຄືນ (ປ.)  	
&nbsp; &nbsp; &nbsp; 	ຣະຊະນີກອນ	ນ. ເດືອນ (ປ. ຣະຊະນີກຣ) 	
ຣະນະ	ນ.	ສົງຄາມ, ຣົບເສິກ (ປ.): ຣະນະ ຫລື ຣົນຣົງ (ຣົນນະຣົງ) ການຣົບ, ສນາມຣົບ. 	
ຣະດີ	ນ.	ຄວາມຍິນດີ (ປ. ຣະຕິ) 	
ຣະດູ	ນ.	ສ່ວນຂອງປີທີ່ແບ່ງອອກເປັນສາມຣະດູໆລະ 4 ເດືອນຄື: ຣະດູຝົນ, ຣະດູໜາວ, ຣະດູຮ້ອນ,    ຍາມ, ສມັຍ (ສ. ຣິຕຸ ປ. ອຸຕຸ) 	
ຣະດູ	ນ.	ເລືອດທີ່ອອກປະຈຳເດືອນສຳລັບສັດຕີ. 	
ຣະດູໝາດ	ນ.	ອາການເປັນຣະດູຫລືລົງຄີງຂອງຜູ່ຍິງທີ່ບໍ່ເປັນປົກກະຕິ. 	
ຣະແດ	ນ.	ຄົນຊາດຂ້າພວກນຶ່ງໃນກະກຸນຊະວາ ມະລາຍູ ຢູ່ທາງພູບໍຣິເວນໃນປະເທດລາວ. 	
ຣະຕະນະ	ນ.	ແກ້ວ (ປ.) 	
ຣະຕິ	ນ.	ຄວາມຍິນດີ, ຄວາມພໍໃຈ, ຄວາມຮັກ (ປ.) 	
ຣະຖະ	ນ.	ຣົດ (ປ.) 	
ຣະພີ	ນ.	ຕາເວັນ (ປ. ຣະວິ) 	
ຣະນະນີ	ວ.	ຣົນນະນີ, ເປັນທີ່ຊື່ນໃຈ, ເປັນໜ້າມ່ວນ (ປ. ຣນນີຍ) 	
ຣະວິ	ນ.	ຕາເວັນ (ປ.) 	
ຣະສະ	ນ.	ຣົດ (ປ.) 	
ຣະສາຍະນະເວດ	ນ.	ວິຊາປະສົມແຮ່ແຜນບູຮານ (ສ. ຣສາຍນເວທ) 	
ຣະຫັດ	ນ.	ຄວາມລັບ, ເຫດລັບ (ປ. ຣະຫັສ) 	
ຣະໂຫຖານ	ນ.	ບ່ອນຢູ່ຈຳເພາະຕົວ, ບ່ອນລັບ (ປ.) 	
ຣາຄະ	ນ.	ຄວາມກຳໜັດ, ຄວາມຍິນດີ (ປ.) 	
ຣາຄີ	ນ.	ຜູ່ມີຄວາມກຳໜັດ, ຄວາມເສົ້າໝອງ (ປ.) 	
ຣາສີ	ນ.	ກອງ, ໝູ່, ລັກສນະດີງາມ, ມາດຕາແທກຈັກກະຣາສີຄືສາມສິບອົງສາ ເປັນ 1 ຣາສີ,    ເດືອນທາງສຸຣິຍະຄະຕິ. 	
ຣາຊະ-ຣາຊາ	ນ.	ເຈົ້າແຜ່ນດິນ, ພຍາ (ປ.)  	
&nbsp; &nbsp; &nbsp; 	ຣາຊາສັບ	ນ. ຄຳທີ່ໃຊ້ສຳລັບພຣະຣາຊາ ແລະ ເຈົ້ານາຍ,    ຄຳໃຊ້ທາງຣາຊການ  	
ຣາຊາທິຣາດ	ນ.	ພຣະຣາຊາຜູ່ເປັນໃຫຍ່ກວ່າພຣະຣາຊາອື່ນໆ (ປ. ຣາຊາທິຣາຊ) 	
ຣາຊາພິເສກ	ນ.	ພຣະຣາຊພິທີໃນການສືບຣາຊສົມບັດ (ປ.) 	
ຣາຊູປະຖັມ	ນ.	ການທີ່ພຣະຣາຊາຊົງຄໍ້າຊູ (ປ. ຣາຊູປຖັມພ) 	
ຣາຊູປະໂພກ	ນ.	ເຄື່ອງໃຊ້ຂອງພຣະຣາຊາ (ປ. ຣາຊູປໂພຄ) 	
ຣາຊາຍະຕະນະ	ນ.	ໄມ້ເກດ (ປ.) 	
ຣາຊິນີ	ນ.	ນາງພຣະຍາ, ນາງກະສັດ (ປ.) 	
ຣາຊັຍສວັນ	ນ.	ຣາຊສົມບັດ (ສ.) 	
ຣາຊັຍ	ນ.	ຄວາມເປັນພຣະຣາຊາ, ຣາຊສົມບັດ (ສ.) 	
ຣາເຊນ	ນ.	ຈອມຣາຊາ (ປ. ຣາຊ+ອິນທ=ອາເຊນທະ) 	
ຣາຕີ	ນ.	ເວລາກາງຄືນ (ປ. ຣັຕຕິ, ສ. ຣັຕຣີ) 	
ຣາມາ	ນ.	ພຣະຣາມ (ປ.) 	
ຣາມັນ	ນ.	ຄົນຊາດມອນ ຫລື ມ່ານ. 	
ຣາຫູ	ນ.	ຊື່ອະສຸຣາຕົນນຶ່ງ ມີໂຕເຄີ່ງນຶ່ງ ເຊື່ອກັນມາວ່າ ເວລາມີຈັນທະຄາດ ສຸຣິຍະຄາດ    ເປັນຍ້ອນຣາຫູອົມໄວ້: ໃນຕຳຣາໂຫຣາສາດເປັນເທວະດາພຣະເຄາະອົງທີ 8 ມີອາພອນແລະ    ພາຫນະສີດຳ (ປ.) 	
ຣິ	ກ.	ຄຶດ (ມາຈາກ ດຳຣິ ແລະ ຕຣິ) 	
ຣິປຸ	ນ.	ຂ້າເສິກສັດຕູ (ປ.) 	
ຣຶຊາ	ນ.	ເງິນຄ່າທັມນຽມ,  	
&nbsp; &nbsp; &nbsp; 	ຣຶຊາກອນ	ນ. ເງິນທີ່ໄດ້ຈາກຄ່າທັມນຽມ (ສ. ຣິຊາກຣ) 	
ຣຶດີ	ນ.	ຄວາມຍິນດີ (ສ. ຣຶຕິ) 	
ຣຶທັຍ	ນ.	ໃຈ (ສ. ຫຣຶທຍ) 	
ຣຸຈີ-ຣຸຈິຣາ	ວ.	ຮຸ່ງເຮືອງ, ສວ່າງ, ງາມ (ປ.) 	
ຣູປະ	ນ.	ຮູບ (ປ.) 	
ຣູປິຍະ	ນ.	ເງິນຕາ, ເງິນທີ່ເຮັດເປັນຮູບ (ປ.) 	
ຣູປີ	ນ.	ເງິນຕາຂອງອິນເດັຍ. 	
ເຣຂາ	ກ.	ຂຽນ, ວ. ຄຶດຂຽນ, ງາມ (ປ.) 	
ເຣຂາຄະນິດ	ນ.	ແບບຄຳນວນຢ່າງນຶ່ງ ກ່າວເຖິງຄວາມກ່ຽວພັນລະຫວ່າງເສ້ນພື້ນຮາບແລະວັດຖຸໃນບ່ອນ    ຫວ່າງ (ສ. ເຣຂາຄະນິຕ) 	
ເຣນູ	ນ.	ລະອອງ, ລະອອງໄກສອນດອກໄມ້ (ປ.) 	
ເຣວະດີ	ນ.	ຊື່ດາວຣືກໝູ່ທີ່ 27 ມີ 32 ໜ່ວຍໂຮມກັນ ດາວປາວຽນໄຟ ກໍເອີ້ນ (ປ. ເຣວຕິ) 	
ໂຣຄະ-ໂຣຄາ	ນ.	ໂຣກ, ພຍາດ, ຄວາມເຈັບປວດ (ປ.) 	
ໂຣຄາພຍາດ	ນ.	ຄວາມເຈັບໄຂ້ (ປ. ໂຣຄາພຍາທິ) 	
ໂຣຄາພາດ	ນ.	ຄວາມເຈັບໄຂ້ (ປ. ໂຣຄາອາພາທິ) 	
ໂຣແມງ-ໂຣມັນ	ນ.	ຊື່ຄົນຊາວຍຸໂຣບຄັ້ງບູຮານພວກນຶ່ງ (ຝ.) 	
ໂຣຫິດ	ນ.	ເລືອດ, ສີແດງ (ປ. ໂຣຫິຕ) 	
ໂຣຫິນີ	ນ.	ຊື່ດາວຣືກໝູ່ທີ 4, ງົວແມ່ແດງ (ປ.) 	
ຣັກຂາ	ກ.	ຮັກສາ (ປ.) 	
ຣັກຂະສະ	ນ.	ຜີເສື້ອນໍ້າ (ປ.) 	
ຣັກຂິຕະ-ຣັກຂິດ	ວ.	ລະວັງ, ເບິ່ງແຍງ, ຮັກສາ (ປ.) 	
ຣັກສາ	ກ.	ຮັກສາ (ສ.) 	
ຣືກ	ນ.	ເວລາເຊີ່ງພໍດີເປັນໄຊຢະມຸງຄຸນ, ນ. ດາວ (ສ. ຣືກສ) 	
ຣຸກຂະ-ຣຸກຂາ-ຣຸກໂຂ	ນ.	ຕົ້ນໄມ້ (ປ. ຣຸກຂ) 	
ຣຸກຂະຊາດ	ນ.	ແນວຕົ້ນໄມ້ (ປ. ຣຸກຂຊາຕິ) 	
ໂຣກ	ນ.	ຄວາມເຈັບໄຂ້ (ປ. ໂຣຄ)  	
&nbsp; &nbsp; &nbsp; 	ໂຣຄນິທານ	ນ. ຄັມພີແພດບູຮານກ່າວດ້ວຍສະມຸດຖານຂອງໂຣກ. 	
ໂຣຄສິລປະ	ນ.	ວິຊາປົວພຍາດ. 	
ຣັງສີ	ນ.	ແສງ, ແສງສວ່າງ (ປ.ສ. ຣັສມີ) 	
ໂຣງຣຽນ	ນ.	ໂຮງຮຽນ (ທ.) 	
ຣິຈນາ (ຣິດຈະນາ)	ກ.	ຂຽນ, ແຕ່ງ, ປະພັນ, ວ. ງາມ (ປ. ຣຈນາ) 	
ຣົຈນາ (ຣົດຈະນາ)	ກ.	ຂຽນ, ແຕ່ງ, ງາມ. 	
ຣັສມີ (ຣັດສະໝີ)	ນ.	ແສງສວ່າງ, ແສງຢາດເປັນໝາຍ (ສ.) 	
ຣັສດາກອນ (ຣັດສະດາກອນ)	ນ.	ລາຍໄດ້ຂອງປະເທດ (ສ. ຣັສດາກຣ) 	
ຣາສດອນ (ຣາດສະດອນ)	ນ.	ພົລເມືອງຂອງປະເທດ (ສ. ຣາສຕຣ) 	
ຣິສຍາ (ຣິດສະຫຍາ)	ນ.	ຄວາມບໍ່ຢາກໃຫ້ຄົນອື່ນໄດ້ດີ, ຫຶງສາ (ສ.) 	
ຣັຊການ (ຣັດຊະການ)	ນ.	ເວລາຢູ່ໃນຣາຊສົມບັດຂອງພຣະຣາຊາອົງນຶ່ງໆ (ປ. ຣັຊຊກາລ) 	
ຣັຊດາພິເສກ (ຣັດຊະດາພິເສກ)	ນ.	ພິທີທີ່ພຣະເຈົ້າແຜ່ນດິນທຳເມື່ອສເວີຍຣາຊສົມບັດມາໄດ້ 25 ປີ ຮຽກວ່າ ຣັຊດາພິເສກ    ແປວ່າຂຶ້ນແທ່ນເງິນ ຫລື ອະພິເສກດ້ວຍເງິນ (ສ.) 	
ຣັຊນີ (ຣັດຊະນີ)	ນ.	ເວລາກາງຄືນ, ເວລາມືດ,  	
&nbsp; &nbsp; &nbsp; 	ຣັຊນີກອນ	ນ. ພຣະຈັນ (ສ. ຣັຊນີກຣ) 	
ຣາຊການ (ຣາດຊະການ)	ນ.	ວຽກການຂອງປະເທດຫລືຂອງເຈົ້າແຜ່ນດິນ (ປ. ຣາຊກາຣ) 	
ຣາຊຄຣູ (ຣາດຊະ....)	ນ.	ຄຣູພຣະເຈົ້າແຜ່ນດິນ, ຕຳແໜ່ງພຣະມະຫາເຖຣະຄັ້ງບູຮານ ເອີ້ນວ່າ ພຣະມະຫາຣາຊຄຣູ. 	
ຣາຊສີ	ນ.	ພຣະຍາສິງ, ມອມໃຫຍ່ (ປ. ຣາຊສີຫະ) 	
ຣາຊສາດ	ນ.	ກົດໝາຍທີ່ພຣະເຈົ້າແຜ່ນດິນຕັ້ງຂຶ້ນຕາມຫລັກທັມມະສາດ (ສ. ຣາຊສາສຕຣ) 	
ຣາຊສານ	ນ.	ໜັງສືທາງຣາຊການຂອງພຣະເຈົ້າແຜ່ນດິນ (ປ. ຣາຊສາສນ) 	
ຣາຊທູດ	ນ.	ຜູ່ແທນຊາດໃນປະເທດອື່ນ, ຕຳແໜ່ງຜູ່ຕ່າງໜ້າຣັຖບານຮອງຈາກອັຄຣາຊທູດ, ຜູ່ພາຣາຊສານ    ໄປປະເທດອື່ນ (ປ. ຣາຊທູດ) 	
ຣາຊທັນ	ນ.	ຜູ່ດຳເນີນການລົງໂທດ, ໂທດຫລວງ. 	
ຣາຊທັມ	ນ.	ຂໍ້ທີ່ພຣະເຈົ້າແຜ່ນດິນຄວນປະພຶດປະຕິບັດ (ປ.) 	
ຣາຊທານີ	ນ.	ເມືອງຫລວງຂອງປະເທດ, ເມືອງທີ່ມີພຣະຣາຊາ (ປ.) 	
ຣາຊນິຕິ	ນ.	ວິທີດຳເນີນການເມືອງ, ແບບແຜນຂອງຜູ່ເປັນພຣະຣາຊາ, ກົດໝາຍ. 	
ຣາຊບັນດິດ	ນ.	ນັກປາດຫລວງ. 	
ຣາຊບຸດ	ນ.	ຕຳແໜ່ງເຈົ້າໃນສມັຍບູຮານ ຮອງຕຳແໜ່ງເຈົ້າມະຫາອຸປຮາດ. 	
ຣາຊບຸຣຸດ	ນ.	ຄົນຂອງພຣະຣາຊາ, ຄົນໃຊ້ຂອງພຣະຣາຊາ (ສ. ຣາຊບຸຣຸສ) 	
ຣາຊພັດ	ນ.	ຂ້າຣາຊການ (ປ. ຣາຊພັຕ) 	
ຣາຊຍານ	ນ.	ຍານພາຫນະຂອງພຣະຣາຊາ. 	
ຣາຊໂຍກ-ຣາຊໂຊກ	ນ.	ຊາຕາເວລາເກີດຂອງຄົນທີ່ບອກວ່າ ຈະໄດ້ເປັນເຈົ້າແຜ່ນດິນ (ສ. ຣາຊໂຍຄ) 	
ຣາຊວົງ	ນ.	ວົງຂອງພຣະຣາຊາ, ຕຳແໜ່ງຊັ້ນເຈົ້າຮອງເຈົ້າຣາຊບຸດ. 	
ຣາຊວັດ	ນ.	ຮົ້ວຂັດເປັນຕາແຫລວ ເອົາທຸງສຽບເປັນຫວ່າງເພື່ອປ້ອງກັນອັນຕະຣາຍ (ປ. ຣາຊວຕິ =    ເຂດແດນຂອງພຣະຣາຊາ, ທຳນຽບຂອງພຣະຣາຊາ. ປ. ຣາຊວັຕຕ) 	
ຣາຊຫັດເລຂາ	ນ.	ຈົດໝາຍຂອງພຣະຣາຊາ (ປ. ຣາຊຫັຕຖເລຂາ) 	
ຣາຊໂອງການ	ນ.	ຄຳສັ່ງຂອງພຣະຣາຊາ, ກົດໝາຍຂອງປະເທດ (ປ. ຣາຊໂອງກາຣ) 	
ຣັດສະສະຣະ	ນ.	ສຽງສັ້ນ, ສະຣະທີ່ມີສຽງສັ້ນ (ປ. ຣັສສະສະຣະ) 	
ຣັຕນະ (ຣັດຕະນະ)	ນ.	ແກ້ວ, ຂອງມີຄ່າຫລາຍ, ຂອງປະເສີດສຸດ.   	
ຣັຕນະບັນລັງ	ນ.	ແທ່ນແກ້ວ (ປ. ຣັຕຕນະປັລລັງກະ) 	
ຣັຕນະມະນີ	ນ.	ແກ້ວພິລາ, ແກ້ວແດງ (ປ.) 	
ຣັຕນາ	ນ.	ແກ້ວ. 	
ຣັຕນາກອນ	ນ.	ສາງແກ້ວ, ທະເລ (ສ. ຣັຕນາກຣ) 	
ຣັຕນາວະລີ	ນ.	ສາຍຄໍເພັດ (ສ.) 	
ຣັຕນາດ	ນ.	ກອງແກ້ວ, ບ່ອນນັ່ງທີ່ເຮັດດ້ວຍແກ້ວ (ປ. ຣັຕນະ+ອາສນະ = ຣັຕນາສນ໌) "ພູທອນຂຶ້ນ    ເໜືອກອງຣັຕນາດ" (ສິນໄຊ) 	
ຣັຕນາມາດ	ນ.	ອາມາດແກ້ວ, ເສນາແກ້ວ (ປ.) 	
ຣັຖຍາ	ນ.	ທາງທຽວ (ສ.) 	
ຣັຖສາດ	ນ.	ວິຊາກ່າວດ້ວຍອົງການປົກຄອງປະເທດ (ສ. ຣັຕຖະສາສຕຣ) 	
ຣັຖບານ	ນ.	ອົງການປົກຄອງປະເທດບ້ານເມືອງ (ປ. ຣັຕຖະປາລະ) 	
ຣັຖປະສາດ	ນ.	ການປົກຄອງປະເທດ (ສ. ຣັຕຖະປະສາສນ) 	
ຣັຖປະສາສະໂນບາຍ	ນ.	ວິທີການປົກຄອງປະເທດ (ສ.) 	
ຣັຖປະຫານ	ນ.	ການລົ້ມເລີກຣັຖບານດ້ວຍອຳນາດທະຫານ (ປ. ຣັຕຖະປະຫາຣ) 	
ຣັຖມຸນຕີ-ຣັຖມົນຕີ	ນ.	ຜູ່ຮັບຜິດຊອບການປົກຄອງປະເທດ, ຜູ່ປຶກສາການປະເທດ (ປ. ຣັຕຖະມັນຕິ) 	
ຣູປທັມ (ຣູບປະທຳ)	ນ.	ສິ່ງທີ່ມີຮູບ (ປ. ຣູປທັມມະ) 	
ຣູປສົມບັດ	ນ.	ຄວາມສວຍງາມ, ຄວາມບໍຣິບູນດ້ວຍຮູບ (ປ.) 	
ຣັມນີ (ຣຳມະນີ)	ວ.	ໜ້າມ່ວນ, ໜ້າອອນຊອນ (ປ. ຣມນີຍະ) 	
ຣາມກຽນ (ຣາມມະກຽນ)	ນ.	ຊື່ໜັງສືເຣື່ອງນຶ່ງກ່າວເຖິງພຣະຣາມເລວກັບຍັກທົສກັນ. 	
ຣາມສູນ (ຣາມມະສູນ)	ນ.	ຊື່ຍັກຕົນນຶ່ງຖືຂວານ ເມື່ອວີໄປເກີດເປັນສຽງຟ້າຮ້ອງ (ສ. ຣາມສູຣ) 	
ຣົມຍາ-ຣົມເຍດ (ຣົມມະຍາ....) 	ວ.	ໜ້າຊື່ນມ່ວນ (ປ.) 	
ລ	ພຍັນຊນະຕົວທີ 23 ເປັນອັກສອນຕໍ່າ ໃຊ້ເປັນໂຕສະກົດພິເສດໃນພຍາງກາງຄຳ    ອອກສຽງດັງຕົວ ນ ສະກົດ ດັ່ງພົລເມືອງ ຯລຯ 	
ລະ	ກ.	ປະ, ວາງ, ປ່ອຍ, ເວັ້ນ, ວ. ເປັນຄຳປະກອບກິຣິຍາບອກຄວາມຄັກແນ່ ດັ່ງ ໄປລະເດີ,    ເປັນຄຳປະກອບຄຳຊື່ ໃຫ້ຮູ້ເປັນແນວເປັນອັນ ດັ່ງ ຄົນລະແນວ. 	
ລະກາ	ນ.	ຊື່ປີທີ່ 10 ມີເຄື່ອງໝາຍຮູບໄກ່. 	
ລະກຳ	ນ.	ຊື່ຕົ້ນໄມ້ແນວນຶ່ງເປັນກໍຕົ້ນມີໜາມຍາວ ໝາກມີຣົດສົ້ມ, ຄວາມທຸກຍາກ, ຄວາມລຳບາກ,    ຄວາມອຸກໃຈ. 	
ລະແຄະລະໄຄ	ນ.	ຄວາມຜິດພາດ, ຄວາມປະພຶດທີ່ພາໃຫ້ສົງສັຍໃນທາງບໍ່ດີ. 	
ລະຄັງ	ນ.	ເຄື່ອງຕີສັນຍາຫລໍ່ດ້ວຍທອງເຫລືອງຮູບຄືໝາກກະດິງແຕ່ໃຫຍ່ກວ່າກະດິງຫລາຍ. 	
ລະຄອນ	ນ.	ການຫລິ້ນມະໂຫຣະສົບວິທີນຶ່ງ ຫລິ້ນເປັນເຣື່ອງຕ່າງໆ 	
ລະງັບ	ກ.	ເຮັດໃຫ້ສະງົບ, ເຮັດໃຫ້ເຊົາ, ເຊົາເຈັບປວດ. 	
ລະງົມ	ວ.	ດັງສນັ່ນ. 	
ລະຍະ	ວ.	ຕອນ, ຊົ່ວນຶ່ງໆ, ຫວ່າງນຶ່ງ. 	
ລະດາ	ນ.	ເຄືອໄມ້ (ປ. ລະຕາ) 	
ລະດັບ	ນ.	ພື້ນຮາບສເມີ. 	
ລະດົມ	ກ.	ຮ້ອງຮຽກມາໂຮມຊ່ອຍກັນ. 	
ລະນຶກ	ກ.	ຄຶດພໍ້, ຄຶດເຫັນ. 	
ລະນາດ	ນ.	ເຄື່ອງເສບແນວນຶ່ງ ເອົາໄມ້ເຮັດເປັນລູກຮ້ອຍຕິດກັນໃຊ້ຄ້ອນໜັງຕີ. 	
ລະນາມ	ນ.	ປ່າເປັນຊຳນໍ້າ, ຫ້ວຍຕາມຮ່ອມພູ. 	
ລະນຽດ	ນ.	ເສົາຕ້າຍ. 	
ລະບົບ	ນ.	ຢ່າງ, ທຳນອງ, ລະບຽບ, ບ່ອນໂຮມສ່ວນຕ່າງໆເຂົ້າກັນ 	
ລະບອບ	ນ.	ແບບຢ່າງ, ທຳນຽມ, ລະບຽບການປົກຄອງ. 	
