a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
abate	masculine noun <ol><li>1 (matança) slaughter <br><p-l>XXX criação de gado para abate </p-l>YYYbreeding of cattle for slaughter </li><li>2 (de árvores) felling </li><li>3 (de muro, casa) demolition </li><li>4 Portugal (desmantelamento de veículos) scrapping <br>▸ dei o carro para abate </li><li>I sent the car to be scrapped </li></ol></li></ul>
abatedouro	masculine noun Brazil <br>abattoir 
abater	<ul><li>A transitive verb <ol><li>1 (matar) to slaughter ‹animal› ; to kill, to murder ‹pessoa› </li><li>2 (debilitar) to lay … low ‹pessoa› <br><p-l>XXX a gripe abateu-a bastante </p-l>YYYthe flu laid her really low </li><li>3 (derrubar) to destroy, to demolish ‹muro, casa› ; to fell ‹árvore› ; to <br>bring down, to down ‹avião› <br><p-l>XXX o furacão abateu a casa </p-l>YYYthe hurricane destroyed or demolished the house </li><li>4 (baixar) to lower ‹preço, juro› </li><li>5 (amortizar) to pay off ‹dívida› </li><li>6 (deprimir) to get … down ‹pessoa› </li><li>7 Portugal (mandar para a sucata) to scrap ‹veículo› </li><li>B intransitive verb <br>(descair) «terreno, telhado» to collapse <br><p-l>XXX as casas abateram </p-l>YYYthe houses collapsed </li><li>C abater-se pronominal verb <br>«tempestade» to break <br><p-l>XXX uma tempestade abateu-se sobre a cidade </p-l>YYYa storm broke over the city <br><p-l>XXX a tragédia que se abateu sobre o país </p-l>YYYthe tragedy that befell or afflicted the country </li></ol></li></ul>
abatido	adjective <ol><li>1 (debilitado) weak <br><p-l>XXX ela está com um ar abatido </p-l>YYYshe looks weak </li><li>2 (deprimido) low ‹ânimo, espírito› <br><p-l>XXX hoje estou abatido </li><li>I feel low or down today </li><li>3 (morto) slaughtered ‹animal› ; murdered ‹pessoa› </li><li>4 (lançado por terra) fallen ‹coluna, muro, árvore› ; downed ‹avião› </p-l>YYY▸ árvores abatidas devido ao temporal <br>fallen trees as a result of the storm </li><li>5 (abaixado) low ‹telhado, alpendre› </li><li>6 (descontado) reduced ‹parcela, quantia› </li><li>7 Architecture depressed ‹arco› </li></ol></li></ul>
abatimento	masculine noun <ol><li>1 (desconto) reduction <br><p-l>XXX um abatimento de 10% </p-l>YYYa ten percent reduction <br><p-l>XXX um abatimento da dívida pública </p-l>YYYa reduction in public debt </li><li>2 (desmoronamento) um abatimento de terras <br>a landslide </li><li>3 (perda de força física) weakness <br><p-l>XXX estado de abatimento </p-l>YYYweak state </li><li>4 (falta de ânimo) depression </li></ol>
abattoir	noun <br>matadouro m 
abaulado	adjective <br>bowed ‹teto, prateleira› ; bulging ‹parede› <br><p-l>XXX o pneu começa a ficar abaulado </p-l>YYYthe tire is beginning to bulge 
abaulamento	masculine noun <ol><li>1 (curvatura) (de teto, prateleira) bowing; (de parede) bulging; (de estrada) <br>camber <br><p-l>XXX um abaulamento do teto </p-l>YYYa bowing of the ceiling </li><li>2 Medicine protrusion </li><li>3 Architecture arching </li></ol>
abaular	<ul><li>A transitive verb <br>to bow ‹superfície, teto, prateleira› <br><p-l>XXX o peso dos livros abaulou as prateleiras </p-l>YYYthe weight of the books bowed the shelves </li><li>B intransitive verb <br>(ficar abaulado) «telhado» to bow </li><li>C abaular-se pronominal verb <br>to bow </li></ul>
abbess	noun <br>abadessa f 
abbey	noun <br>abadia f 
abbot	noun <br>abade m 
abbreviate	transitive verb <br>abreviar ‹word, passage, title› <br><p-l>XXX ‘Mister’ is usually abbreviated to ‘Mr’ </p-l>YYY‘Senhor’ é geralmente abreviado como ‘Sr.’ 
abbreviation	noun <br>uncountable  and countable abreviatura f 
abc	<ul><li>A noun <ol><li>1 (alphabet) á-bê-cê m <br><p-l>XXX to learn the ABC </p-l>YYYaprender o á-bê-cê </li><li>2 (alphabetical guide) guia m <br><p-l>XXX the London ABC </p-l>YYYo Guia de Londres </li><li>3 (basics) abc m <br><p-l>XXX the ABC of cooking </p-l>YYYo abc da culinária </li><li>B abbreviation <br>(= American Broadcasting Company rede de televisão norte-americana) <br>IDIOM <br>to be as easy/simple as ABC <br>ser tão fácil/simples quanto roubar doce de criança </li></ol></li></ul>
abcesso	masculine noun <br>abscess 
abcissa	feminine noun <br>abscissa 
abdicar	intransitive verb <ol><li>1 (renunciar ao poder) «monarca» to abdicate <br><p-l>XXX o monarca abdicou do trono </p-l>YYYthe monarch abdicated (from) or renounced the throne </li><li>2 (desistir) abdicar de suas responsabilidades/seu dever <br>to abdicate one's responsibilities/one's duty <br><p-l>XXX abdicar de seus direitos/sua liberdade </p-l>YYYto relinquish one's rights/one's freedom </li></ol>
abdicate	<ul><li>A transitive verb <ol><li>1 (renounce) abdicar de <br><p-l>XXX to abdicate the throne </p-l>YYYabdicar do trono </li><li>2 (fail to fulfill) abdicar de ‹responsibility› <br><p-l>XXX you cannot simply abdicate your duty to give leadership </p-l>YYYvocê não pode simplesmente abdicar do seu dever de oferecer liderança </li><li>B intransitive verb <br>abdicar </li></ol></li></ul>
abdication	noun <br>abdicação f 
abdicação	feminine noun <ol><li>1 (por um soberano) abdication <br><p-l>XXX a abdicação do rei </p-l>YYYthe abdication of the king </li><li>2 (de responsabilidades) abdication; (de direitos) relinquishment </li></ol>
abdomen	noun <br>abdômen m Brazil, abdómen m Portugal 
abdominal	<ul><li>A adjective <br>(relativo ao ventre) abdominal ‹cavidade, músculo, dor› <br><p-l>XXX exercícios abdominais </p-l>YYYabdominal exercises </li><li>B abdominais masculine plural noun <ol><li>1 Anatomy (músculos) abdominals, abs informal </li><li>2 Sport (exercícios) sit-ups <br>▸ faço abdominais </li><li>I do sit-ups </li></ol></li></ul>
abduct	transitive verb <br>raptar ‹child, woman, victim› 
abduction	noun <br>rapto m <br><p-l>XXX cases of child abduction </p-l>YYYcasos de rapto de crianças 
abductor	noun <ol><li>1 (kidnapper) raptor m / raptora f </li><li>2 Anatomy abdutor m Brazil, adutor m Portugal <br><p-l>XXX abductor muscle </p-l>YYYmúsculo abdutor </li></ol>
abdução	feminine noun <ol><li>1 Physiology abduction </li><li>2 (rapto) abduction <br><p-l>XXX abduções alienígenas or extraterrestres </p-l>YYYalien abductions </li></ol>
abdômen	@abdómen Portugal	@abdome <br>masculine noun <ol><li>1 Anatomy (ventre) abdomen <br><p-l>XXX ele foi esfaqueado no abdômen </p-l>YYYhe was knifed in the abdomen </li><li>2 Zoology (dos artrópodes) abdomen </li></ol>
abeberar	<ul><li>A transitive verb <ol><li>1 (embeber) to soak ‹pão, bolo› </li><li>2 (dar de beber a) to water ‹animal, gado› </li><li>B intransitive verb <br>(ficar embebido) «pão» to soak <br><p-l>XXX deixar abeberar bem </p-l>YYYallow to soak well </li></ol></li></ul>
abecedário	masculine noun <ol><li>1 (alfabeto) alphabet <br><p-l>XXX ela aprendeu o abecedário </p-l>YYYshe learned the alphabet </li><li>2 (livro para aprender a ler) reading primer </li></ol>
abegão	abegoa masculine noun, feminine noun Portugal <br>tenant farmer 
abeirar	<ul><li>A transitive verb <ol><li>1 (aproximar) to bring near ‹pessoa, animal› </li><li>2 (aproximar-se) to approach ‹local› </li><li>3 Portugal archaic (estar perto de) to be approaching <br><p-l>XXX o moço abeira os 18 anos </p-l>YYYthe boy is approaching 18 </li><li>B abeirar-se pronominal verb <br>(aproximar-se de) to approach <br><p-l>XXX abeirar-se de algo/alguém </p-l>YYYto approach sth/sb <br><p-l>XXX ao abeirar-se da janela </p-l>YYYas he approached the window </li></ol></li></ul>
abelha	feminine noun <br>bee 
abelha-mestra	feminine noun pl abelhas-mestras <ol><li>1 Zoology queen bee </li><li>2 figurative (pessoa) queen bee </li></ol>
abelhudo	<ul><li>A abelhuda masculine noun, feminine noun <br>derogatory meddler </li><li>B adjective <br>derogatory interfering (before n) ‹pessoa› ; meddling (before n) ‹pessoa› <br><p-l>XXX ele é um pouco abelhudo </p-l>YYYhe's a bit of a meddler </li></ul>
abençoado	adjective <ol><li>1 Religion blessed ‹pessoa, terço› <br><p-l>XXX vivemos em terra abençoada </p-l>YYYwe live in a blessed land </li><li>2 (venturoso) blessed ‹pessoa, acontecimento› <br><p-l>XXX um relacionamento abençoado </p-l>YYYa blessed relationship </li><li>3 (favorecido) blessed ‹pessoa› <br>▸ sinto-me abençoado </li><li>I feel blessed </li></ol></li></ul>
abençoar	transitive verb <ol><li>1 (bendizer) to bless ‹casa, navio, pessoa› <br><p-l>XXX que Deus te abençoe sempre </p-l>YYYmay God bless you always </li><li>2 (favorecer) to bless <br><p-l>XXX ele foi abençoado com esse dom </p-l>YYYhe was blessed with that gift <br><p-l>XXX o casamento fora abençoado com o nascimento de uma filha </p-l>YYYthe marriage had been blessed with the birth of a daughter </li></ol>
aberrant	adjective <br>aberrante ‹results, ideas, behavior› <br><p-l>XXX aberrant forms of religious belief </p-l>YYYformas aberrantes de crença religiosa 
aberrante	adjective <ol><li>1 (afastado do normal) aberrant ‹construção, projeto› </li><li>2 Biology, Medicine, Psychology (desviado) aberrant ‹comportamento, célula› <br><p-l>XXX proteínas aberrantes </p-l>YYYaberrant proteins </li><li>3 (absurdo) ridiculous, absurd ‹fato› </li></ol>
aberration	noun <ol><li>1 (deviation) aberração f </li><li>2 (lapse) alienação f <br><p-l>XXX in a moment of mental aberration </p-l>YYYem um momento de alienação </li></ol>
aberração	feminine noun <ol><li>1 (afastamento de um padrão) aberration <br><p-l>XXX uma aberração arquitetônica </p-l>YYYan architectural aberration </li><li>2 Biology, Medicine, Psychology (desvio) aberration <br><p-l>XXX uma aberração sexual </p-l>YYYa sexual aberration <br><p-l>XXX aberrações genéticas </p-l>YYYgenetic aberrations <br><p-l>XXX uma aberração da Natureza </p-l>YYYinformal derogatory a freak of nature </li></ol>
aberração cromática	feminine noun <br>chromatic aberration 
aberta	feminine noun <ol><li>1 Brazil (clareira) clearing <br><p-l>XXX as abertas do mato </p-l>YYYthe clearings in the forest </li><li>2 Meteorology break in the clouds, clear period </li><li>3 (oportunidade) break <br><p-l>XXX uma aberta para tomar café </p-l>YYYa break for coffee, a coffee break <br>EXPRESSÃO <br>apanhar uma aberta <br>Portugal (na chuva) to make a dash for it; <br>(oportunidade) to take one's chance or opportunity </li></ol>
abertamente	adverb <br>openly <br><p-l>XXX falar abertamente </p-l>YYYto talk openly <br><p-l>XXX ele não declarou abertamente em quem votará </p-l>YYYhe didn't declare openly who he was going to vote for 
aberto	<ul><li>A adjective <ol><li>1 (não fechado) open ‹janela, boca› <br><p-l>XXX está aberto </p-l>YYYit's open <br><p-l>XXX com os olhos muito abertos </p-l>YYYwith one's eyes wide open </li><li>2 (sem tampa) open ‹recipiente› </li><li>3 (descerrado) open ‹válvula› <br><p-l>XXX você deixou a torneira aberta </p-l>YYYyou left the faucet running </li><li>4 (desabotoado) undone ‹fecho, braguilha› <br><p-l>XXX ela tinha o botão da blusa aberto </p-l>YYYthe button of her blouse was undone </li><li>5 (disposto para leitura) open ‹livro› </li><li>6 Clothing <br><p-l>XXX é um vestido aberto nas costas </p-l>YYYit is a backless dress <br><p-l>XXX um decote aberto </p-l>YYYa plunging neckline </li><li>7 (sem cobertura) open ‹terraço, varanda› ; open-top ‹carro› </li><li>8 (vasto) open ‹lugar, espaço, campo› </li><li>9 (afastado) open ‹pernas, braços› </li><li>10 (límpido) clear ‹céu› ; dry ‹tempo› </li><li>11 (em atividade) open ‹estabelecimento, comércio, museu› <br><p-l>XXX estar aberto ao público </p-l>YYYto be open to the public </li><li>12 (encetado) open ‹sessão, matrícula› <br><p-l>XXX está aberta a sessão … </p-l>YYYthe session is open … <br><p-l>XXX já estão abertas as inscrições para o seminário </p-l>YYYregistration for the seminar is now open </li><li>13 (acessível) open ‹evento› <br><p-l>XXX a reunião está aberta a toda a comunidade </p-l>YYYthe meeting is open to the whole community </li><li>14 (receptivo) open ‹pessoa, diálogo, debate› <br><p-l>XXX ele está aberto a novas ideias </p-l>YYYhe is open to new ideas </li><li>15 (manifesto) open ‹discussão› <br><p-l>XXX um conflito aberto </p-l>YYYan open conflict </li><li>16 (compreensivo) open-minded ‹pessoa› <br><p-l>XXX ele é uma pessoa muito aberta </p-l>YYYhe is a very open-minded person </li><li>17 (liberal) open ‹mentalidade› <br><p-l>XXX tenha a mente aberta </p-l>YYYkeep an open mind </li><li>18 Medicine open ‹ferida› </li><li>19 Phonetics open ‹vogal› </li><li>20 Literature open ‹narrativa› </li><li>21 Mathematics open ‹conjunto› </li><li>22 (claro) pale ‹cor› </li><li>B adverb phrase <br><p-l>XXX em aberto </p-l>YYYopen <br><p-l>XXX a discussão ficou em aberto </p-l>YYYthe discussion was left open <br><p-l>XXX o caso ainda está em aberto </p-l>YYYthe case is still open <br><p-l>XXX uma dívida em aberto </p-l>YYYan outstanding debt </li></ol></li></ul>
abertura	feminine noun <ol><li>1 (abrimento) opening </li><li>2 (de uma tampa) opening <br><p-l>XXX latas de conserva de fácil abertura </p-l>YYYeasy-open tins </li><li>3 (começo) opening <br><p-l>XXX horário de abertura </p-l>YYYopening time <br><p-l>XXX a abertura de um inquérito </p-l>YYYthe opening of an inquiry </li><li>4 (declaração pública) opening <br><p-l>XXX a abertura de um concurso </p-l>YYYthe opening of a competition <br><p-l>XXX um discurso de abertura </p-l>YYYan opening speech <br><p-l>XXX a abertura oficial de algo </p-l>YYYthe official opening of sth </li><li>5 (brecha) opening </li><li>6 (escavação) excavation <br><p-l>XXX a abertura de um túnel </p-l>YYYthe excavation of a tunnel </li><li>7 Music aperture </li><li>8 Law opening <br><p-l>XXX abertura de falência </p-l>YYYopening of insolvency proceedings </li><li>9 Portugal Finance commencement <br><p-l>XXX abertura de atividade </p-l>YYYcommencement of activity </li><li>10 (disposição favorável) opening <br><p-l>XXX a abertura da economia ao investimento estrangeiro </p-l>YYYthe opening up of the economy to foreign investment </li><li>11 (acessibilidade) openness <br><p-l>XXX é um homem com grande abertura de espírito </p-l>YYYhe is a very open-minded man </li><li>12 Clothing opening </li><li>13 Photography aperture </li><li>14 Mathematics size <br><p-l>XXX a abertura em ângulo </p-l>YYYangle size </li></ol>
abespinhamento	masculine noun <br>annoyance 
abespinhar	<ul><li>A transitive verb formal <br>to annoy </li><li>B abespinhar-se pronominal verb formal <br>to get annoyed </li></ul>
abet	transitive verb pres p abetting pt, pp abetted <br>incitar <br><p-l>XXX despite abetting them in a series of thefts he denied everything </p-l>YYYapesar de incitá-los a realizar uma série de roubos, ele negou tudo <br><p-l>XXX to aid and abet sb in doing sth </p-l>YYYser cúmplice de alguém ao fazer algo 
abeto	masculine noun <br>fir 
abeto vermelho	masculine noun <br>Norway spruce 
abeyance	noun uncountable <br>suspensão f <br><p-l>XXX in abeyance </p-l>YYYsuspenso <br><p-l>XXX the law is currently in abeyance </p-l>YYYno momento a lei está suspensa <br><p-l>XXX to fall into abeyance </p-l>YYY«law, agreement» ficar suspenso 
abhor	transitive verb pres p abhorring pt, pp abhorred <br>abominar ‹threats, rape, violence› <br><p-l>XXX we abhor any form of discrimination </p-l>YYYabominamos qualquer forma de discriminação <br>IDIOM <br>nature abhors a vacuum <br>a natureza abomina o vácuo 
abhorrence	noun <br>uncountable aversão f <br><p-l>XXX their abhorrence of war </p-l>YYYsua aversão à guerra <br><p-l>XXX to have an abhorrence of sth or to hold sth in abhorrence </p-l>YYYter aversão a algo 
abhorrent	adjective <br>abominável ‹behavior, theory, methods, idea› <br><p-l>XXX to be abhorrent to sb </p-l>YYYser abominável para alguém 
abichar	<ul><li>A transitive verb <br>informal derogatory (conseguir) to get, to land informal <br><p-l>XXX ele abichou uma aposentadoria vitalícia </p-l>YYYhe landed a life pension </li><li>B intransitive verb <br>«fruta, planta» to be grub-eaten </li></ul>
abide	<ul><li>A transitive verb <br>suportar ‹behavior, sight, smell, sound› <br><p-l>XXX I can't abide that/doing that </p-l>YYYnão suporto isso/fazer isso </li><li>B intransitive verb <br><p-l>XXX to abide by </p-l>YYYsujeitar-se a ‹judgment, decree› </li></ul>
