abonemén	<p-n>D</p-n> <br><p-l>1 </p-l>subscription (to a newspaper/magazine, etc.); / LANGGANAN. <br><p-l>2 </p-l>to subscribe to, have a subscription/season ticket to; t BERLANGGANAN. <i>Saya</i> – <i>bis</i>. I have a bus commuter ticket. <br><p-l>3 </p-l>subscription fee; → UANG <i>langganan</i>.<br><p-l>berabonemén </p-l>to subscribe to, have a subscription to.<br><p-l>mengaboneménkan </p-l>to subscribe for s.o.
abong-abong	(<i>J</i>/<i>Jv</i>) just/simply because; / MENTANG-MENTANG. – <i>gué</i> <i>orang</i> <i>miskin</i>, <i>lu</i> <i>jangan</i> <i>seénaknyé</i> <i>menghiné</i>, <i>yé</i>. Just be- cause I’m poor, don’t insult me just because you feel like it, OK?
aboné	<p-n>D</p-n> subscriber.
aborijin	<p-n>E</p-n> aborigine. <i>kaum</i> – the aborigines (of Australia).
aborsi	<p-n>D</p-n> abortion. <i>melalukan</i>/<i>mengadakan</i> – to have an abor- tion, abort.<br><p-l>mengaborsi </p-l>to abort. <br><p-l>teraborsi </p-l>aborted. <br><p-l>pengaborsian </p-l>abortion.
abortus	<p-n>D</p-n> abortion; → ABORSI. <i>mengadakan</i> – to abort.<br><p-l>mengabortus </p-l>to abort.<br><p-l>pengabortusan </p-l>aborting.
abrak	(<i>Skr</i> <i>cla</i>) mica.<br><p-l>abrak-<b>abrakan</b> </p-l>in disorder, disorderly, chaotic.
abrakadabra	(<i>D</i>/<i>E</i>) abracadabra.
abrar	<p-n>A</p-n> pious.
abras	<p-n>A</p-n> leprous.
abrasi	<p-n>D</p-n> abrasion. <i>termakan</i> – abraded.<br><p-l>mengabrasikan </p-l>to abrade s.t.<br><p-l>terabrasi </p-l>abraded.
abreg and abrek	<p-n>Jv</p-n> <br><p-l>seabrek </p-l>numerous, a lot. <i>Dara</i> <i>ini</i> <i>punya</i> <i>kesibukan</i> ~. This girl is very busy. <br><p-l>seabreg-<b>abreg</b> </p-l>in heaps.
ABRI	 /abri/ [Angkatan Bersenjata Républik Indonésia] (now re- placed by <br><p-l>TNI)</p-l> <br><p-l>1 </p-l>Armed Forces of the Republic of Indonesia. <br><p-l>2 </p-l>a member of the Armed Forces of the Republic of Indonesia. <i>serombongan</i> – a group of ABRI members.<br><p-l>meng-<b>ABRI</b>-<b>kan</b> </p-l>to place (a government agency, e.g.) under the\ncontrol of ABRI.<br><p-l>ke-<b>ABRI</b>-<b>an</b> </p-l>armed forces <p-n>mod</p-n>. <i>dalam</i> <i>lingkungan</i> ~ in armed forces circles.
abrik	 → UBRAK-ABRIK.
abrikos	<p-n>D</p-n> apricot.
abrit-abritan	<p-n>J</p-n> to run helter-skelter.
abruk	<p-n>J</p-n> <br><p-l>ngabrukin </p-l>to slam s.t. down. ~ <i>pantatnya</i> <i>di</i> <i>atas</i> <i>sofa</i> to slam one’s behind down on the sofa.
abréaksi	abreaction.
abréviasi	<p-n>E</p-n> abbreviation; → SINGKATAN.
ABS	<p-n>init</p-n> [Asal Bapak Senang] Pleasing the Boss; ] ASAL <i>Bapak</i> <i>Senang</i>.<br><p-l>meng-<b>ABS</b>-<b>i</b> and <b>meng</b>-<b>ABS</b>-<b>kan</b> </p-l>to flatter.
absah	<p-n>A</p-n> valid, legal, legitimate; → SAH I. <i>tidak</i> – invalid, illegal. <i>Kontrak</i> <i>ini</i> <i>tidak</i> –. This contract is invalid. <bi>ketidakabsahan</bi> invalidity, illegality.<br><p-l>mengabsahkan</p-l> <br><p-l>1 </p-l>to legalize, legitimate, validate. <br><p-l>2 </p-l>to endorse.<br><p-l>keabsahan </p-l>validity, legality, legitimacy.<br><p-l>pengabsah </p-l>validator, validation, legalizer.<br><p-l>pengabsahan</p-l> <br><p-l>1 </p-l>legalization, legitimacy. <br><p-l>2 </p-l>endorsement.
absis	<p-n>D</p-n> abscissa.
absolusi	<p-n>D</p-n> absolution.
absolut	(<i>D</i>/<i>E</i>) absolute; → MUTLAK. <br><p-l>mengabsolutkan </p-l>to make s.t. absolute. <br><p-l>pengabsolutan </p-l>making s.o. absolute.
absolutisasi	<p-n>E</p-n> absolutization.<br><p-l>mengabsolutisasikan </p-l>to make s.t. absolute.
absolutisme	(<i>D</i>/<i>E</i>) absolutism.
absorbir	<p-n>D</p-n> <br><p-l>mengabsorbir </p-l>to absorb.
absorbsi and absorpsi	(<i>D</i>/<i>E</i>) absorption.<br><p-l>mengabsorpsi </p-l>to absorb.<br><p-l>terabsorpsi </p-l>absorbed.<br><p-l>pengabsorpsi </p-l>absorber, absorption.
absorbén	(<i>D</i>/<i>E</i>) absorbent.
