 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
cikwengelo	a whetstone, e.g. Eeli bbwe *ncikwengelo* cazipanga. = This stone is for sharpening big blades. Amundikwengele cipeni *acikwengelo* awo. = Sharpen this knife for me on that whetstone there.
cikwenya	boxing ring, e.g. Lottie Mwale wakacizyi kapati kufwusa nyindi naanjila *mucikwenya*. Lottie Mwale knew how to box when he entered the ring. Also *cikkweya*
cikwepe	boat made of planks, pl. *zikwepe*, a ferry, e.g. Nobakasika ku Zambezi bakajana bantu, mbaaba balanduka mulonga *azikwepe*. When they reached the Zambezi they found people, there they are crossing the river in boats.
Myootokala azimbayambaya	zilatant cikwepe*, mpoona zilalandu-sigwa kuzwa kunkomwe imwi kusikila kuli imwi. = Cars and lorries go on to a ferry and are then taken across from one side to the other.
	stairs e.g. Musankwa wakabasololela kuya *kucikwepe*. The boy led them going up the stairs.
cikwesa	plastic nappy, pl. *zikwesa*, e.g. Wakaula *zikwesa*. He bought plastic nappies.
cikwese	a broad-bladed straight-edged working axe, e.g. *Cikwese* cangu cakafwumpa. My working axe is blunt.
cikwibba caloozi	a of fibre before it is stripped, e.g. Kamuya mulete *cikwibba caloozi* mwamana mucifwundunune. Go and bring an unstripped fibre and when you have done that strip it.
cikwikwi	a swarm of locusts, e.g. Uuno mwaka ngwacikwikwi zisyango zilamana. = This year is for locusts, the crops will be finished. *Cikwikwi* cakainda mumuunda wangu akulya mapopwe onse. = A swarm of locusts came by my field and ate all the maize. Also cigwigwi.
cikwilimba	pidgeon hut, e.g. *Mucikwilimba* kuli nzoka. There is a snake in the pidgeon hut.
cikwilinti	a green pigeon, e.g. Mukasamu muya kuli *cikwilinti* cakkala. = A green pidgeon is sitting in that tree. Also cigwilinti.
cikwizo	putty, e.g. Amubikke *cikwizo*
mumpulungwido	Put putty on the windows. Also cikunyo.
cila	organized hunting activity, a general hunt when the bush is set on fire, e.g. Banalumi boonse bakaya kucila ku Chisoboyo. = All the men have gone to the hunt at Chisoboyo. Also ncila.
	a gross stomach, e.g. *Cila cangulube ncibi, taciligwi.* = The stomach of the pig is bad, it is inedible. Also *ida*
cilabba	a rough grass hut, shelter, pl. malabba, e.g. *Kamuyaka cilabba bakkalile bantu adilwe.* = Build a temporary shelter for the people to stay in at the funeral. *Kunkolola bakayaka cilabba cipati.* = At the initiation they built a big shelter. *Kumalabba abamasilikani ndakabona miIwi yazilwanyo.* = At the police-camp I saw piles of weapons.
cilabiko	a fable without a song, an enigma, e.g. *Kamundipa cilabiko comwe ndimvwe.* = Give me one riddle to hear. *Cilabiko cakatulabika basyaaneene cilakatazya.* = The riddle which grandfather told us is difficult. Also kalabiko, kalabi.
cilabila	inability to sleep, e.g. *Jilo masiku ndakalaa cilabila, kwiina nindaona kabotu pe.* = Last night I had insomnia, I did not sleep well.
cilabisi	any rubbish or useless thing, pl. zilabisi/malabisi, e.g. *Ooyu ncacita ncilabisi lyoonse.* = What this one does is always rubbish. *Eeci cisani ncilabisi ciide kuzauka.* = This garment is useless, it is just in tatters.
cilai	a sledge or sleigh, e.g. *Baya kucigayo acilai lyoonse.* = They always go to the mill with a sledge. *Basankwa bagonka cilai cakususizya meenda.* = The boys are cutting a sledge for carrying water. Also cilayi.
cilakalaka	appetite for something, e.g. *Sunu ndaa cilakalaka cakulya sulwe.* = Today I have an appetite for eating a rabbit. *Ndimvwide cilakalaka cakulya nyama.* = I feel an appetite for eating meat. Also cinunki.
	a passionate kiss, e.g. *Ibbuku lyakajisi cifwanikiso camusankwa amusimbi bakali kulyana cilakalaka.* = The book had a picture of a boy and a girl kissing one another passionately.
cilakula	the palate, e.g. *Ndabaa buyaaya kucilakula.* = I have sores on the palate. Also malagilo
cilala	the leaf of a young palm tree, pl. zilala, e.g. *Akaya kalala kajisi zilala zibotu.* That young palm tree has very nice leaves
	drought, e.g. *Uuno mwaka kuli cilala bakwesu.* = This year there is a drought, my friends. *Mazuba akazyalwa mwana ooyu kwakaliindide kale myaka yobile kakuli cilala, ooyu waali mwaka watatu danga eeli kalizumanana.* = During the days when this child was born, two years of drought has passed, this was the third year for this drought to continue.
cilalilo	the evening meal, e.g. *Kofwambaana ukalete busu, tujike cilalilo.* = Hurry and bring flour so that we cook the evening meal.
cilalo	a rat's nest, e.g. *Ndajana cilalo mumuunda.* = I have found a rat's nest in the field. Also manswa.
	the afterbirth, e.g. *Naakamana kutumbuka cilalo cakamuka kuzwa aboobo mutumbu wakapenga kapati.* When she has given birth the afterbirth was slow to come out and so the mother suffered severely. Also camacembele, macembele.
cilamalama	a type of bird, the falcon, e.g. *Cilamalama tacikkomani kukkala mucisaka, ciyandisya kukkala mucibanda.* = The falcon does not like to live in a forest, it prefers to live in the open plain.
cilambo	a coloured or painted mark, e.g. *Cilambo eci cili mbuli caamalila.* This mark is like one of the funeral marks. *Cilambo cankuku eyi ncibotu.* = The marking of this chicken is beautiful.
	the insignia of a chief, e.g. *Kwakali bantu banji mwami mupya naakapegwa cilambo cabwami.* There were many people when the chief was given the insignia of chieftainship.
cilambwa	a hollow or depression, e.g. *Ngulube zilikanda mumeenda aka-kkalila mucilambwa.* = The pigs are wallowing in the water which has settled in a depression.
	a solitary red spot on cow, e.g. *Musune okwesu ulaa cilambwa ankumo.* = Our ox has a red spot on the forehead. Also cilambo, mubala, kaama, caama.
cilanga	a drought, e.g. *Uuno mwaka ncilanga, kwiina mvwula.* = This is a year of drought, there is no rain. Also cilala.
cilangabwaaseme	 afternoon, e.g. *Beenzu bakasika acilangabwaaseme.* = The visitors arrived in the afternoon. Also cilangankumo
cilangankumo	 about 13.00-15.00 hrs., e.g. *Izuba lyasika acilangankumo, tuya kukusyanga ndongwe kumuunda.* = When the sun is opposite the forehead, we will go to plant groundnuts in the field.
cilawo	a residential place for families, farms, e.g. *Eeci cilawo ncipati kapati.* = This farm is very big. *Ooyu mwana akaambo kabubbi unyina cilawo cakukkala.* = This youth, because of thieving, has no place to stay.
	a shed, a shelter for sleeping, e.g. *Basankwa bayaka cilawo cakoonena bana.* = The boys are building a shelter for the children to sleep in. Also cilabba
	a place or space, e.g. *Lyadilwe lya Mainza Choona cilawo cakaceya nkaambo bantu bakali banji kapati.* = At the funeral of Mainza Choona there was no room as the people were very many.
cilaya	a garment, e.g. *Cilaya ca-mwana caligwa mpongo.* = The child's garment was eaten by a goat. Also cisani, cikobela, cibaki.
	a piece of metal, e.g. *Kamuleta cilaya tusye zilindi zyacisanza.* = Bring a piece of metal so that we dig holes for a maize granary. Also cisisyo, cigawa, cigoyo, mungwala.
cilayi	a vehicle on runners instead of wheels, a sledge, sleigh, a conveyance of any kind, e.g. *Cilayi cakutola kumuunda cilifwide aboobo kuyandika kugonka cimbi.* = The sleigh for transport to the field is broken and so it is necessary to cut another.
	old name for the railway line, e.g. *Cilayi nicakasika ku Mazabuka basankwa banji bakali kujatwa cibbalo.* = When the railway line reached Mazabuka many boys were caught for forced labour.
cilazya	a patch of grass which has grown where the veld has been burnt, e.g. *Basune mubatole kukucelela kucilazya mumusena.* = Take the oxen to graze to the patch of grass in the vlei.
	a patch of grass which has not been burnt, e.g. *Aano mazuba kuli basulwe banji musyokwe lyacilazya.* = Today there are many rabbits in the unburnt veld.
cileba	an axe, e.g. *Eeci cileba cilabosya kapati.* = This axe is very sharp. *Mwiini wacileba cangu watyoka.* = The handle of my axe is broken. Also keembe.
cilebya	 See cilebyo.
cilebyo	a thing which causes one to stumble, e.g. *Imfwinzyo nzyobaanga munzila ncilebyo cibi kapati.* = The grass which they tied across the path is a great impediment. *Munzila iiya kumeenda, kuli wakabikka bbwe lyacilebyo.* = On the path going to the water, someone has put a stone which can cause one to stumble.
	anything slaughtered at the initiation ceremony, e.g. *Ankolola yamwanaangu bakajaya nombe yomwe yacilebyo.* = At my daughter's initiation ceremony they killed one ritual cow. (-leba nkolola = kill something for that intiation ceremony) e.g. *Tiindakasika ankolola nkaambo ndakabula cilebyo.* = I did not go to the initiation ceremony because I had nothing to kill. Also cilebya, cilebe.
cilekete	a cartilage, firm elastic tissue, gristle, e.g. Nsekonzyi kulya nyama eyi, ncilekete calo. = I cannot eat this meat, it is just gristle. Also mulambi.
cilele	degree, step, stage, pl. malele e.g. Kubala mabbuku ncilele cakusumpuka mubuzumi. Reading books is a step in making progress in life.
cilema	a cripple, a handicapped person or animal, paralytic, e.g. Ooyu mwana mbwaakazyalwa ncilema. = This child is lame from birth. Eeyi mpongo yakazyala cilema citakwe kuulu komwe. = This goat gave birth to a lame kid with one leg missing.
	a heavy load, e.g. Mwana muniini tabwezi cilema. A young child cannot lift a heavy load. Sena ulijisi cilema ceelede kubikkwa munsi? Inzya, tulijisi bbokesi. = Have you something heavy that needs to be put behind. Yes, we have a box.
cilembalemba	bunches of figs (nkuyu), e.g. Makwilinti alayandisya kulya cilemba-lemba. = The green pidgeons like to eat figs.
cilembela	a fig tree, fig(s), e.g. Cilembela cili mumuunda bakacigonka. = They cut down the fig tree in the field.
	a medicinal root (unidentified), e.g. Mulwazi bakamusilisya musamu wacilembela. They healed the patient with a medicinal root.
	something to write on, e.g. Sicikolo talembi nkaambo wabula cilembela. = This pupil does not write because she has nothing to write on.
cilembio	notched edge of a fragment used for decorating pottery, e.g. Ndabula cilembio, ndali kuyanda kubamba zibiya zyangu. I have no piece of pottery for decorating, I wanted to work on my pots.
cilembyo	an instrument for writing, e.g. Cilembyo cangu caleka kulemba. = My pen has stopped writing.
cilenda	a liquid which becomes turbid when mixed with another substance, e.g. Mabisi ayo utabikki mumusozya nkaambo cilaba cilenda akaambo kakupya kwamusozya. Do not put that sour milk in the samp because it will be turbid as the samp is still hot.
cilende	a pillar, pl. zilende, e.g. Twakajana bana baliyubide kunze acilende. = We found the children hiding behind the pillar.
cilengano	a vision, e.g. Beembezi bambelele bakabona cilengano cakabayoosya kapati musyokwe. The shepherds saw a vision which frightened them in the bush.
cilengwa	a custom/habit/tradition, e.g. Ooyu ulaa cilengwa cakutukila bapati. = This one has the habit of insulting the elders. Ooyu mwana ciyanda kuba cilengwa cakwe cakubba. = It is becoming a habit for this child to steal.
cilengwa-lengwa	a striking and unusual happening, either good or bad, e.g. Eeyi mpongo yakazyala cilengwa-lengwa. = This goat gave birth to a deformed kid.
cilengwaleza	a living creature or inanimate object, e.g. Uulemene tasekwi nkaambo ncilengwaleza. A lame person should not be laughed at because s/he is created by God.
cileye	a bundle of grass or firewood, e.g. Amunditukke cileye cankuni. = Help me lift a bundle of firewood on to my head.
cilezu	a beard, e.g. Cilezu cabasyaneene cituba mvwi. The beard of my grandfather has grey hair. Ooyu cilezu cili mbuli camujembwe wampongo. = This man's beard is like a goat's.
	the first part of the mafwenezya marriage payment, e.g. Bataata bali kutola mali acilezu koomusimbi ngweyanda kukwata. My father was taking the first part of the marriage payment to the family of the girl I want to marry.
cili	a curtain which protects from wind Also cilibebekezyo.
	plenty of money, e.g. Muleli ulaa cili cinji mumasi aandeene. = The leader has vast amounts of money in different countries.
ciliba	a working axe, e.g. Koleta ciliba tugonsye nkuni. = Bring the axe so that we cut firewood with it. Also cileba.
	a bundle of dried maize stalks, pl. ziliba, e.g. Kaindi bana basankwa bakali kusobana ziliba zyamakuba mumeenda. = Long ago boys used to play with bundles of dried maize stalks in the water. (the bundles float and can carry the children)
	a boat or raft made of light materials, pl. ziliba, e.g. Chuungabuluba wakabamba ciliba catusamu amabu mayumu, mpoona mayuwe akamutola asyoonto-syoonto kuya kumbo. = Chuungabuluba made a raft of sticks and strong reeds, thereupon the waves took him gradually to the west. Mumaanzi malamfwu balombwana bakali kubelesya ziliba. Bali kunga bajana mpaali malamfwu baleta ziliba akutalika kucotela. = In deep waters the men would use rafts. Wherever they found it was deep they would bring rafts and begin to paddle.
cilibebekezyo	a cloth protecting against the wind, e.g. Eeci cilibebekezyo ncakukwabilila muwo. This cloth is for protection against the wind. (When used as a verb, e.g. Kolibebeka kalembo nkaambo kulatontola = Cover yourself with a piece of cloth because it is cold.)
cilido	an eating place, e.g. Kobikka cakulya mucilido cabanyama. Put the food in the trough of the animals.
	a style of eating, e.g. Cilido cakwe ncibi. = His manner of eating is bad.
cilijazyo	an offence, e.g. Wakanjila mucilijazyo nkaambo wakayanda muka muntu. = He was guilty of an offence because he loved the wife of another. Mulomo lyoonse ncilijazyo. The mouth is always a way of getting yourself into trouble.
cililenga	an unexpected and undesired happening, e.g. Ndayeeya kuti cilainda kugwasya kumukwata biyo nokutanaba cililenga. I think it is better just to marry her before anything happens unexpectedly.
cilili	a permanent alluvial garden, e.g. Lungu luli mucilili cangu Iwakaneneka. = The pumpkins which are in my garden have grown small ones. Mutumbu wakanjila mucilili, mvwula noyakalaba matanga onse akalibonya mucilili. The suckling mother entered the field and when the rain produced lightning all the melons were seen. Cibila wakajisi cilili candongwe munsi acilundu. The rock rabbit had a fertile plot of groundnuts near a hill. Basimbi balasya mbeba mucilili causyi. = The girls are digging for rats in their father's garden.
